epoch,mAP,asym_loss
0,38.78622817993164,6.70381314937885
1,47.072052001953125,5.090366987081675
2,61.568580627441406,4.7362638253432054
3,51.81135559082031,4.648390183081993
4,55.680477142333984,13.475742853604832
5,65.25691223144531,5.193439667041486
6,57.318668365478516,1.9950902645404522
7,78.71640014648438,1.4575671691160936
8,67.06343078613281,5.092464153583234
9,54.581546783447266,2.466389949505146
10,72.60863494873047,1.4555530502245977
11,69.87511444091797,1.2779569855103126
12,56.55210494995117,5.204085698494544
13,70.84635925292969,2.165761466209705
14,67.72854614257812,1.7632077382161069
15,77.01010131835938,1.0476394272767582
16,67.70121765136719,5.72730308312636
17,72.54187774658203,2.420432778505179
18,73.04895782470703,1.3702589502701392
19,89.05409240722656,1.4703047734040477
20,71.79229736328125,6.50702718588022
21,82.22737884521484,2.52078285584083
22,69.30377197265625,1.4978072184782762
23,71.1344985961914,1.1065078790371232
24,69.30506134033203,6.202043845103336
25,69.18060302734375,2.9115648361352773
26,68.63941192626953,1.4464540298168478
27,78.92324829101562,1.3996044718302212
28,76.7187271118164,6.251356766774103
29,52.958160400390625,2.5889191627502437
30,61.86398696899414,2.0029423970442553
31,72.16937255859375,1.2796380886664758
32,68.92125701904297,7.61701121697059
33,64.25567626953125,2.9766311462108908
34,57.22045135498047,1.9108328085679274
35,63.60437774658203,1.5534050739728489
36,65.9770278930664,8.768592834472656
37,63.9554443359375,3.1315206747788644
38,65.30945587158203,2.32278081545463
39,71.57623291015625,1.7975055071023796
