epoch,mAP,asym_loss
0,46.12459182739258,8.865901979282755
1,69.57479858398438,5.0472477473834925
2,76.26200103759766,3.279944678737781
3,80.4861831665039,2.556602970601701
4,82.49846649169922,2.542955101519925
5,85.51904296875,2.1420007900829776
6,86.97904205322266,1.8598137210698016
7,88.7387924194336,1.6806760868026869
8,89.0647201538086,1.6513490181158068
9,89.91348266601562,1.483460958100388
10,92.2545166015625,1.356575706315906
11,92.50717163085938,1.3078476303186362
12,93.54232788085938,1.2326202151602252
13,93.22586059570312,1.2017281162660127
14,93.85074615478516,1.0962736194971774
15,94.18231964111328,1.0719605276588564
16,95.3527603149414,1.0193593721873686
17,96.10850524902344,0.9498215787874977
18,96.5092544555664,0.8893446300436956
19,96.81694793701172,0.8479205536173517
20,96.71319580078125,0.8512378527042093
21,96.89936828613281,0.793893422624065
22,96.79283142089844,0.7907190556720931
