epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,entropy_loss,cosine_loss,overall_loss
24,0.7001332881152745,0.8716297154527424,0.7765254396668985,0.6994624324300087,0.8315329961493289,0.7598012133480152,0.8329505070642281,0.7548455511262102,0.7919770065210002,0.8228973590858949,0.7113025829440333,0.7630413754822087,84.9041748046875,7.044090627701011,0.07203049409910864,7.116121124188545
25,0.7016497306923983,0.8742770735347545,0.7785085849809283,0.699126558771106,0.8338924576080083,0.760585952351282,0.8345203728477575,0.7564584703906994,0.7935743551049523,0.8174877430323392,0.712889064648852,0.7616138320538767,85.29117584228516,6.914336828138826,0.06999201149833492,6.98432884385432
26,0.7049120147786752,0.8767293436103883,0.7814882239162589,0.7033292405403256,0.8380100428454179,0.764785499666173,0.8363468734747004,0.757101477735775,0.7947536590393733,0.8166036903582328,0.713534090851304,0.7615975227080417,85.5623550415039,6.8460872246895335,0.06789561438402114,6.913982839184248
27,0.7070321453694702,0.8783378418848528,0.7834298538507856,0.7045145670700642,0.8416625904419203,0.7670059703616623,0.8382270057011554,0.7593660862008866,0.7968501665331482,0.8233135083941834,0.7173595115861596,0.7666932160225332,85.968505859375,6.769625971396611,0.0670610157222173,6.836686989158033
28,0.7115444908779909,0.8802274088548059,0.7869481344601994,0.7086139872098712,0.8428221248539582,0.7699131685248379,0.8424186450806759,0.7612894357000481,0.7998019373007769,0.8246997647445801,0.7199950038222349,0.76879875863163,86.29337310791016,6.617310395248776,0.06559434531560132,6.682904739862804
29,0.7141403218624769,0.8819281130787849,0.7892148140337464,0.7107182360926461,0.8458808516088769,0.772431323582123,0.8445871659500354,0.761858003446566,0.8010923799272608,0.828911841582633,0.7199147901643972,0.7705780392278427,86.45027160644531,6.553741971102936,0.06402111615183524,6.61776309081714
30,0.7157470231229965,0.8835592562953216,0.7908490269620606,0.7136295419323753,0.8486393338530224,0.775300728920774,0.8452416552939066,0.7632252077983926,0.8021424038059659,0.8290217245785204,0.7224051876278799,0.7720500266944691,86.7688980102539,6.502015285373208,0.06246072995950184,6.564476012734593
31,0.7176529070229858,0.8859721042580037,0.7929789716289463,0.7150289909512069,0.8516371857355898,0.7773771932203817,0.8466777553105908,0.7647272530892988,0.803618644220823,0.8312566383281172,0.7239976655242082,0.7739285647502734,87.09262084960938,6.396966029470697,0.06150558896068136,6.458471617655767
32,0.7224707790392036,0.8878999278325715,0.7966883026780346,0.7192064271009332,0.8550063549138482,0.7812489806862808,0.8498449317155449,0.7668059285296991,0.8061927878126267,0.8370578732827221,0.7271882689745445,0.7782645575530728,87.48429870605469,6.28547163737022,0.059915978916739145,6.345387618894436
33,0.7249542076931076,0.8899389749959496,0.7990187975641848,0.7208514043174049,0.8560258896957137,0.7826448729549371,0.8522221980034004,0.7678104149994845,0.8078171689492999,0.8357595130422485,0.7282501767864912,0.7783097727363263,87.64303588867188,6.216557540487474,0.05898402757485867,6.275541569329013
