epoch,mAP,train_loss
0,97.08334350585938,8.559234142303467
1,92.99999237060547,5.975559949874878
2,100.0,3.9399261474609375
3,100.0,2.3870506286621094
4,90.20000457763672,8.669198036193848
5,90.20000457763672,6.921962738037109
6,98.53333282470703,5.535111427307129
7,98.33334350585938,4.320354461669922
8,94.61666870117188,9.060188293457031
9,99.33333587646484,6.613097190856934
10,96.66665649414062,5.589960336685181
11,96.0,4.143211245536804
12,95.20000457763672,8.842592239379883
13,99.33333587646484,6.55768609046936
14,97.53333282470703,5.213158130645752
15,97.53333282470703,3.9092849493026733
16,87.86666870117188,10.289237022399902
17,96.0,7.04641580581665
18,87.08334350585938,6.681229114532471
19,98.99999237060547,4.392573833465576
20,98.53333282470703,9.579577922821045
21,100.0,6.908825397491455
22,91.66666412353516,5.928854942321777
23,100.0,4.250514984130859
24,90.20000457763672,9.505160331726074
25,96.0,7.477611064910889
26,98.33334350585938,6.360632658004761
27,96.66665649414062,5.1857686042785645
28,95.20000457763672,9.867182731628418
29,97.53334045410156,7.731094121932983
30,99.33333587646484,6.261145353317261
31,99.33333587646484,4.611227750778198
32,91.0,9.600738048553467
33,96.20000457763672,7.256431818008423
34,89.33332824707031,6.245734930038452
35,100.0,4.665323734283447
36,91.66666412353516,9.02672815322876
37,90.20000457763672,8.313100814819336
38,100.0,6.124976634979248
39,90.20000457763672,5.400774002075195
40,95.66666412353516,9.447733879089355
41,88.75,8.398189544677734
42,96.0,6.78832483291626
43,99.33333587646484,5.353802680969238
44,92.86666870117188,10.856249332427979
45,92.86666870117188,9.229658603668213
46,95.20000457763672,7.163204193115234
47,100.0,6.102484464645386
48,96.53333282470703,11.43568229675293
49,98.53333282470703,8.541584014892578
50,100.0,7.1636505126953125
51,98.99999237060547,5.84177041053772
52,97.53333282470703,10.010833740234375
53,98.53333282470703,9.797520160675049
54,86.66666412353516,7.403661727905273
55,96.41666412353516,6.64528751373291
56,91.66666412353516,9.678647518157959
57,96.0,8.832451820373535
58,97.53333282470703,8.06281065940857
59,100.0,6.195590496063232
60,96.0,10.164510726928711
61,99.33333587646484,8.934864282608032
62,91.0,9.438095569610596
63,94.20000457763672,7.8179731369018555
64,99.33333587646484,11.81449270248413
65,98.53333282470703,10.731601238250732
66,96.86666870117188,8.843476295471191
