epoch,mAP,asym_loss
0,61.1529426574707,6.459915706089564
1,67.91175842285156,4.604472977774484
2,76.9640121459961,3.65247688974653
3,83.53633117675781,3.3244718483516147
4,81.97975158691406,14.948530605861118
5,85.42996215820312,11.164026532854354
6,87.53009796142578,8.056713172367642
7,86.59530639648438,5.601653984614781
8,83.0092544555664,16.165438515799387
9,88.7018051147461,11.777109691074916
10,89.66175842285156,8.736956868852888
11,92.01053619384766,6.278068270002092
12,79.48538970947266,17.17685535975865
13,86.32780456542969,12.88158130645752
14,88.14137268066406,9.62024075644357
15,90.73302459716797,7.346501214163644
16,88.1783218383789,17.829395839146205
17,90.9836196899414,14.04444422040667
18,90.07530212402344,11.280469621930804
19,90.01119995117188,9.055125917707171
20,86.1318588256836,19.544546944754465
21,88.856689453125,15.340055329459053
22,83.18778991699219,13.50600814819336
23,90.89707946777344,10.055692536490305
24,85.61146545410156,21.303010940551758
25,89.37698364257812,17.108394077845983
26,90.47964477539062,14.554038728986468
27,91.26638793945312,11.777741295950753
