3,118,0,726,60
7,127,0,1250,431
11,128,0,1783,801
15,128,0,2289,1199
19,128,0,2778,1614
23,128,12,3262,2022
27,128,107,3697,2396
31,128,197,4132,2775
35,131,295,4555,3155
39,135,418,4980,3507
43,135,569,5387,3853
47,135,726,5793,4194
51,135,860,6184,4573
55,135,1008,6563,4950
59,135,1153,6915,5357
63,135,1283,7254,5792
67,135,1411,7573,6249
71,135,1543,7881,6713
75,135,1692,8191,7158
79,135,1845,8487,7613
83,135,2000,8788,8061
87,135,2150,9066,8537
91,135,2315,9344,8998
95,135,2476,9595,9490
99,135,2644,9857,9964
103,135,2828,10110,10431
107,135,2996,10350,10927
111,135,3172,10593,11412
115,135,3350,10816,11915
119,135,3518,11021,12446
123,135,3705,11246,12938
127,135,3896,11459,13438
131,135,4085,11666,13946
135,135,4288,11882,14431
139,135,4459,12060,14986
143,135,4640,12240,15529
147,135,4837,12428,16048
151,135,5006,12577,16634
155,135,5189,12737,17195
159,135,5380,12892,17753
163,135,5584,13052,18293
167,135,5786,13207,18840
