agg_iter,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
0,0.9535526633262634,0.8411634564399719,0.9090753197669983,0.8387670516967773,0.6021482348442078,0.8357964754104614,0.8747320771217346,0.8687617182731628,0.3539773225784302,0.7451307773590088,0.6334084868431091,0.8775752186775208,0.9362009763717651,0.8607569932937622,0.9109095335006714,0.6387991309165955,0.7981228828430176,0.6704045534133911,0.9303893446922302,0.7242675423622131,76.5314214748671
1,0.941402018070221,0.7759796977043152,0.8851604461669922,0.8327085375785828,0.5581430792808533,0.7659275531768799,0.8596802949905396,0.8519768118858337,0.3592899441719055,0.6964930295944214,0.6329492330551147,0.7399027943611145,0.9075603485107422,0.8120390176773071,0.9198890924453735,0.6388772130012512,0.8154262900352478,0.6828755140304565,0.921961784362793,0.7062621712684631,74.85229570597761
2,0.9345598220825195,0.7744828462600708,0.8257713913917542,0.5930332541465759,0.5499370098114014,0.7129226326942444,0.8587222099304199,0.8333308696746826,0.4085984528064728,0.729856550693512,0.5824156403541565,0.6800397038459778,0.8942174911499023,0.8009181022644043,0.9154009819030762,0.6209864020347595,0.6994990706443787,0.6902945041656494,0.8979944586753845,0.6869913935661316,72.06167005479182
3,0.9277688264846802,0.7812371253967285,0.8425282835960388,0.8101149201393127,0.5356330275535583,0.7729117274284363,0.8390130996704102,0.8446943759918213,0.3808513879776001,0.8158254027366638,0.5963108539581299,0.7603024244308472,0.8949191570281982,0.7723569869995117,0.9288168549537659,0.5690840482711792,0.7035037875175476,0.648394763469696,0.8568456768989563,0.7177115082740784,73.65129415100621
4,0.8885604739189148,0.809398353099823,0.858515202999115,0.7655894160270691,0.5287403464317322,0.81062912940979,0.8680559992790222,0.8653528094291687,0.36030638217926025,0.7509142160415649,0.6246144771575928,0.7928920984268188,0.8662547469139099,0.8109915852546692,0.9342987537384033,0.6321334838867188,0.7943117022514343,0.6279207468032837,0.9008241891860962,0.7162789106369019,74.81367170965332
5,0.9254029393196106,0.7901158928871155,0.8810897469520569,0.763258159160614,0.5276017189025879,0.7761401534080505,0.8705947995185852,0.8977681398391724,0.39323025941848755,0.8311574459075928,0.6911785006523132,0.8149638175964355,0.9123948812484741,0.8331472277641296,0.9226961731910706,0.6221058368682861,0.8524606227874756,0.6710099577903748,0.9396219849586487,0.739214301109314,76.78217842621233
6,0.9439627528190613,0.8450178503990173,0.8989543318748474,0.788044810295105,0.5803959965705872,0.8379931449890137,0.876874566078186,0.8839206695556641,0.37278616428375244,0.8022082448005676,0.6696178317070007,0.8503717184066772,0.9192805886268616,0.8431425094604492,0.9464870691299438,0.6713727712631226,0.8693118691444397,0.6928676962852478,0.9380204081535339,0.7413099408149719,78.3516716653538
7,0.950553834438324,0.8267722129821777,0.8883937001228333,0.8615610003471375,0.566670835018158,0.8065821528434753,0.8782992362976074,0.9084796905517578,0.3301170766353607,0.8341371417045593,0.6564627885818481,0.8360603451728821,0.9152680039405823,0.8583998680114746,0.9340705275535583,0.5996264815330505,0.8903633952140808,0.6889098286628723,0.9500446915626526,0.6991001963615417,78.02916273483615
8,0.9573472142219543,0.8545273542404175,0.9139909148216248,0.8437305688858032,0.5321108102798462,0.8071142435073853,0.884227991104126,0.8652812838554382,0.37677446007728577,0.8272426128387451,0.6446513533592224,0.8560760021209717,0.9197391271591187,0.8587242364883423,0.9376270771026611,0.6206768155097961,0.894991934299469,0.7051215767860413,0.9561852216720581,0.6977591514587402,78.31706648875891
9,0.9687606692314148,0.8752304911613464,0.9276918172836304,0.8294327855110168,0.5412453413009644,0.8102807998657227,0.8849350810050964,0.9151508212089539,0.34156495332717896,0.8501919507980347,0.7039105892181396,0.8686305284500122,0.9330354928970337,0.8688924908638,0.9093570113182068,0.640962541103363,0.8894424438476562,0.6807836294174194,0.9602513313293457,0.6827998161315918,78.6391331245028
