epoch,entropy_loss,relation_loss,overall_loss
0,7.198853593869739,0.6787398060892335,7.877593399958972
1,6.817807974586524,0.6318348077433934,7.449642782329917
2,6.175500296754847,0.6166990948033467,6.792199391558194
3,5.510759291330865,0.5736110765309176,6.084370367861784
4,3.2394273435000134,0.6701794426797244,3.9096067861797374
5,2.8190454147718946,0.6381892110893781,3.4572346258612727
6,1.9058223319294096,0.6145547202673141,2.5203770521967237
7,1.8087438023451898,0.492109865911426,2.300853668256616
8,3.138734320856999,0.7035828917443928,3.842317212601391
9,1.8606684987133006,0.4748687884646774,2.335537287177978
10,1.177106815740924,0.42176593737091295,1.598872753111837
11,0.8822445813606512,0.3524133844816292,1.2346579658422803
12,3.1227156474541036,0.6693934679942855,3.792109115448389
13,1.9796303245350653,0.4271639021834359,2.4067942267185014
14,1.3366213751740228,0.46881367711076505,1.8054350522847877
15,1.033936723492624,0.3229829225568241,1.3569196460494481
16,3.5038125382249077,0.625800998575341,4.129613536800249
17,2.320204371224177,0.54550372927846,2.865708100502637
18,1.4999180911862668,0.5560869552561265,2.0560050464423933
19,1.1793712434026382,0.4594910971618664,1.6388623405645046
20,3.391820935193044,0.6351538879482542,4.026974823141298
21,2.091420233930369,0.6608719520041171,2.752292185934486
22,1.6068118316688058,0.5976795787679288,2.204491410436735
23,1.4099492500096327,0.5174719459946994,1.927421196004332
24,3.5797117083042505,0.7702534458140319,4.349965154118283
25,2.499631342545881,0.8324241248704141,3.3320554674162945
26,1.9946850829435188,0.5204832495332493,2.515168332476768
27,1.7551544429949093,0.5831550874018568,2.3383095303967663
28,3.5603596058438534,0.7842167978290691,4.344576403672923
29,2.807455876493196,0.6359321031422653,3.4433879796354616
30,2.314279917421557,0.6243482717882446,2.938628189209801
31,2.184340922301447,0.7149440956981499,2.899285017999597
32,4.4684122624169715,0.8022362798930622,5.270648542310034
33,3.930630807030967,0.7575771759496256,4.688207982980592
34,3.370718087507497,0.7528926162889968,4.123610703796493
35,3.218629534413649,0.8164285451975171,4.035058079611166
36,4.410972935577387,0.9163978937628452,5.327370829340233
37,4.539294381857134,0.7399621921313033,5.279256573988437
38,4.2784462286826495,0.8638641700461416,5.1423103987287915
39,4.681707132758074,0.8977087670289711,5.579415899787045
