epoch,entropy_loss,relation_loss,overall_loss,relation_loss_for_adj
0,8.011227845188579,4.821639129666629,12.832866974855216,4.814562506254305
1,7.422333112058716,4.072204985523391,11.494538097582103,4.071919176109709
2,6.817045936703176,4.038857705703477,10.85590364240666,4.038980285049804
3,6.642339170081824,3.864762559599128,10.50710172968095,3.8649143761902107
4,6.242764630022691,3.899163536298653,10.141928166321344,3.899940542927821
5,6.062251105019388,3.7046552903878394,9.766906395407235,3.704704725775708
6,6.068506391259733,3.69947774403182,9.767984135291544,3.6995251474795587
7,5.835402682332477,3.541138224210326,9.376540906542813,3.54115113227988
8,5.093611677859174,3.5176235266043547,8.611235204463537,3.518063934330913
9,5.078097715874147,3.3168046227029295,8.39490233857708,3.316841960288101
10,4.999532198803489,3.3034064369343343,8.302938635737803,3.303492021763784
11,4.580467171832748,3.089920576264503,7.67038774809725,3.0901754729904325
12,4.260311135903741,3.196239572225976,7.456550708129728,3.1967861710569174
13,4.375546008856462,3.0613447572316916,7.436890766088165,3.061468031654679
14,3.9107535005922816,2.8118315070734092,6.722585007665682,2.812010384093415
15,3.6531106895841767,2.846371565743502,6.4994822553276785,2.8466674584052067
16,3.8187935129336035,2.89893951433667,6.7177330272702696,2.8995718785316473
17,3.599872159864711,2.7519539230499532,6.351826082914665,2.7522701314804188
18,3.3949610496863025,2.7359077891843806,6.130868838870685,2.7368076879232746
19,3.401685350743629,2.7308652264537487,6.132550577197379,2.7313705860750397
20,2.9932255789318014,2.608069905021665,5.6012954839534705,2.609364061880548
21,2.8712304777466384,2.4678810204724266,5.3391114982190615,2.4692800888791657
22,2.788236602858416,2.379441349839695,5.16767795269812,2.3806881043299573
23,2.616100160275995,2.3467537648441663,4.96285392512016,2.348215522058213
24,2.4354242825958345,2.422689236664969,4.858113519260808,2.4242043392991577
25,2.46133271013317,2.2855024543405893,4.746835164473755,2.287152304102522
26,2.3164528006247767,2.2730554404554133,4.589508241080196,2.2751780652249733
27,2.324758558860471,2.181343776423964,4.506102335284434,2.1833384074543236
28,2.004139795434333,2.1745691907707063,4.178708986205036,2.1769036069051326
29,2.0799827484554094,2.1017124988691096,4.181695247324519,2.1045390735746627
30,1.9865127370519435,2.0243506060722436,4.010863343124188,2.0282662168892225
31,1.9892919177253192,2.014506221020371,4.0037981387456885,2.0177565903166377
32,1.7475859812254455,2.100073639776157,3.8476596210016045,2.1029330614845856
33,1.750852660847052,2.046598684191409,3.797451345038462,2.05087635925639
34,1.8855602490920904,1.9650806819460342,3.850640931038124,1.9687814102638732
35,1.7435907874418042,1.9254275341647895,3.669018321606592,1.9300827380304055
36,1.6395986088016703,1.9926060335165383,3.6322046423182095,1.9961321618324641
37,1.6860141012687544,1.838838571583684,3.5248526728524365,1.8444645481673676
38,1.4924192635243858,1.9651735323652497,3.4575927958896377,1.9713665242153644
39,1.5170661826935212,1.9269958097418052,3.4440619924353233,1.932394997861848
