epoch,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
0,0.03448275849223137,-1.0,-1.0,-1.0,0.03846153989434242,0.1339285671710968,0.5860986113548279,-1.0,0.9620938897132874,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9020956754684448,-1.0,0.10000000149011612,-1.0,-1.0,34.88117980957031
1,0.03448275849223137,-1.0,-1.0,-1.0,0.0476190485060215,0.06971153616905212,0.6640797853469849,-1.0,0.8253857493400574,-1.0,-1.0,-1.0,-1.0,0.0416666679084301,-1.0,0.9539090394973755,-1.0,0.1666666716337204,-1.0,-1.0,35.04401779174805
2,0.0357142873108387,-1.0,-1.0,-1.0,0.03846153989434242,0.06111111119389534,0.6768341064453125,-1.0,0.8785575032234192,-1.0,-1.0,-1.0,-1.0,0.0357142873108387,-1.0,0.9670587182044983,-1.0,0.20000000298023224,-1.0,-1.0,36.16814422607422
3,0.03448275849223137,-1.0,-1.0,-1.0,0.1428571492433548,0.15263158082962036,0.7001933455467224,-1.0,0.9670587182044983,-1.0,-1.0,-1.0,-1.0,0.0357142873108387,-1.0,0.9776502251625061,-1.0,0.1111111119389534,-1.0,-1.0,39.021240234375
4,1.0,-1.0,-1.0,-1.0,1.0,0.5666666626930237,0.5586841702461243,-1.0,0.9849994778633118,-1.0,-1.0,-1.0,-1.0,0.05000000074505806,-1.0,0.9449490904808044,-1.0,0.3333333432674408,-1.0,-1.0,67.98291015625
5,1.0,-1.0,-1.0,-1.0,0.07692307978868484,0.3333333432674408,0.5506658554077148,-1.0,0.9200757145881653,-1.0,-1.0,-1.0,-1.0,0.0714285746216774,-1.0,0.9351540803909302,-1.0,0.25,-1.0,-1.0,51.71976089477539
6,1.0,-1.0,-1.0,-1.0,0.07692307978868484,0.8333333134651184,0.6699735522270203,-1.0,0.9854612946510315,-1.0,-1.0,-1.0,-1.0,0.125,-1.0,0.889310359954834,-1.0,0.3333333432674408,-1.0,-1.0,61.416690826416016
7,1.0,-1.0,-1.0,-1.0,0.0833333358168602,0.6000000238418579,0.6654320955276489,-1.0,0.9789153933525085,-1.0,-1.0,-1.0,-1.0,0.0555555559694767,-1.0,0.9382503032684326,-1.0,0.07692307978868484,-1.0,-1.0,54.98011779785156
8,1.0,-1.0,-1.0,-1.0,0.1111111119389534,0.15833333134651184,0.7045414447784424,-1.0,0.8770512938499451,-1.0,-1.0,-1.0,-1.0,0.125,-1.0,0.9771568775177002,-1.0,0.25,-1.0,-1.0,52.5399284362793
9,0.0833333358168602,-1.0,-1.0,-1.0,1.0,0.2361111044883728,0.6714674830436707,-1.0,0.9626039862632751,-1.0,-1.0,-1.0,-1.0,0.03448275849223137,-1.0,0.9530209302902222,-1.0,0.5,-1.0,-1.0,55.51274490356445
