epoch,entropy_loss,relation_loss,overall_loss,relation_loss_for_adj
0,3.5025612900847873,1.5764823646954624,5.07904365478025,1.5655521513415762
1,1.032097258314451,1.1054997376194446,2.1375969959338956,1.1042577497845782
2,0.6442441082751695,0.8284561279408768,1.4727002362160462,0.8315686770728179
3,0.7070782183184853,0.6229201629475765,1.3299983812660616,0.6262416611127796
4,4.732312299269384,0.7839063410039796,5.5162186402733635,0.7930419188879391
5,1.7723590531206075,0.6524831513027138,2.4248422044233213,0.6593127251287266
6,1.4126345899798578,0.5992059594574939,2.0118405494373515,0.6046830197528537
7,0.8861170944334782,0.5733045258053757,1.459421620238854,0.5802109740644584
8,5.300597687598444,0.797088131461376,6.09768581905982,0.8060286637046096
9,2.847950771746458,0.6521779944541753,3.5001287662006333,0.6594050779037892
10,1.763880376572425,0.6526179543416902,2.416498330914115,0.6589395552737521
11,1.3868304542458483,0.6094832490697724,1.99631370331562,0.6171327852887593
12,6.407054413942151,0.834104073533946,7.241158487476097,0.8480415169086365
13,3.7458428932328864,0.6715210521664473,4.417363945399334,0.6788341212106518
14,1.8773095907277713,0.5977303077187991,2.4750398984465707,0.6036244334159979
15,1.2425144935132661,0.5966550713627292,1.8391695648759958,0.6029859905227126
16,6.971441177983481,0.8122325385733827,7.783673716556863,0.8280833032862662
17,3.941045674739728,0.7049058770632533,4.645951551802981,0.7122066917802077
18,2.527059493124829,0.6720964958195081,3.1991559889443364,0.6793515036271633
19,2.2614298137175077,0.6058516468216443,2.8672814605391514,0.6128256005844172
20,7.662291506434294,0.7852448809038097,8.447536387338102,0.7986977891157044
21,4.5887547830915585,0.6514542994889428,5.240209082580502,0.6610882814938208
22,3.237573074700265,0.5695857352257921,3.8071588099260567,0.5752474434897595
23,1.9448640284003411,0.6021409672130611,2.547004995613402,0.6075624365101069
24,8.187175795307274,0.7322750061398865,8.919450801447159,0.7446965518854695
25,4.961598781535603,0.7011079141766915,5.662706695712293,0.7088363517105852
26,3.9340095516591327,0.6204031117995508,4.554412663458683,0.6275008253752984
27,2.618429178749073,0.6523595141241814,3.2707886928732544,0.6577072403314471
28,7.459785043047325,0.6904822711343659,8.150267314181693,0.7026601419542569
29,6.384702194740561,0.6671034264439577,7.051805621184519,0.6747506119651137
30,3.9121211685413013,0.6961087921119563,4.608229960653258,0.7027205372266934
31,2.701518678133797,0.631796074414869,3.3333147525486657,0.6374629500917733
32,9.428507893380623,0.7578821444705225,10.186390037851146,0.7759785461224035
33,7.325054212372216,0.6187563901339647,7.94381060250618,0.6291250458217129
34,4.649799924280361,0.6592706856958037,5.309070609976164,0.6671084504001856
35,2.9246065478541756,0.5942994096072493,3.5189059574614245,0.5998132508342437
36,11.175743745482247,0.6576703207614878,11.833414066243733,0.6782506642171848
37,8.034243277317294,0.6273188536962458,8.661562131013541,0.6385045387287857
38,4.778388139300205,0.6541027346781836,5.432490873978388,0.6618843344723117
39,5.118119967394762,0.6897967148427501,5.807916682237512,0.6990676448309926
40,11.37987778993356,0.6828674822237574,12.062745272157319,0.7003919087038005
41,9.444551984739341,0.4994009902041181,9.943952974943462,0.5095590930798356
