epoch,mAP,loss
0,59.10979461669922,3.350255133393573
1,75.04014587402344,2.311482437028741
2,79.71058654785156,2.000456056234859
3,81.93731689453125,1.7930483810677376
4,83.86734008789062,1.651555241334556
5,85.81551361083984,1.5233114498602864
6,87.11302947998047,1.491526465481854
7,88.2985610961914,1.3549861446170524
8,89.23712158203125,1.2758129150314685
9,90.31766510009766,1.1978869215145749
10,91.6876220703125,1.150297477447946
11,90.96431732177734,1.1526948939086776
12,91.7688217163086,1.061608887766256
13,92.5350570678711,1.051451090692538
14,92.62328338623047,1.0127849955443693
15,93.87841033935547,0.9563565849581667
16,94.1449966430664,0.9237605665131123
17,94.15984344482422,0.8648668755792548
18,94.5835952758789,0.8582460071227631
19,95.47419738769531,0.7975862906391269
