epoch,mAP,overall_loss
0,38.548065185546875,181.9798345565796
1,41.87214279174805,63.65549850463867
2,51.44218826293945,59.35157489776611
3,45.410274505615234,59.35157537460327
4,40.54841995239258,365.9571342468262
5,40.30181121826172,362.0361633300781
6,38.66244888305664,362.6020202636719
7,41.806861877441406,362.2603988647461
8,39.871971130371094,366.3591003417969
9,42.054141998291016,363.0045738220215
10,41.84200668334961,361.1857452392578
11,41.14827346801758,361.3266906738281
12,53.550689697265625,65.32861089706421
13,54.053340911865234,50.59713840484619
14,62.074405670166016,40.496562004089355
15,54.015594482421875,39.08425951004028
16,54.187660217285156,54.917391777038574
17,61.136268615722656,46.59898567199707
18,55.77043914794922,40.10439205169678
19,58.80470275878906,37.076565742492676
20,52.62998962402344,53.52723169326782
21,54.851890563964844,44.51673698425293
22,55.11097717285156,38.41957330703735
23,58.99787521362305,37.94261074066162
24,54.696720123291016,48.84622764587402
25,54.726593017578125,43.584792137145996
26,53.01128005981445,39.4897723197937
27,60.08930969238281,38.37715148925781
28,60.316341400146484,58.063876152038574
29,64.17224884033203,50.403831481933594
30,60.43077087402344,43.77930307388306
31,52.58738327026367,40.34962797164917
32,55.684017181396484,52.86324214935303
33,54.53195571899414,44.73667240142822
34,57.00944137573242,40.82806730270386
35,57.73646926879883,38.40456008911133
36,57.96697235107422,54.86190366744995
37,56.07206726074219,49.39803218841553
38,58.12128829956055,43.42902660369873
39,59.60329818725586,40.311912536621094
40,56.222076416015625,58.90240430831909
41,61.057559967041016,50.730960845947266
42,60.35456085205078,45.95424032211304
43,61.9666748046875,42.75998878479004
44,53.30068588256836,34.31067633628845
45,61.939823150634766,25.13503623008728
46,56.47715759277344,17.142220735549927
47,62.24052810668945,10.801639795303345
48,58.074806213378906,32.4905846118927
49,54.106719970703125,26.375943660736084
50,54.9975471496582,16.755475282669067
51,72.13385009765625,10.65092670917511
52,67.43671417236328,25.558053493499756
53,68.96512603759766,19.23066258430481
54,60.05573272705078,12.599132180213928
55,55.61667251586914,9.75481641292572
56,62.61259460449219,29.788540363311768
57,58.029109954833984,23.6842303276062
58,60.41572570800781,16.59628462791443
