3,0,8346,5087,4551
7,0,13429,9578,12961
11,1620,19625,13394,19313
15,4792,26348,16755,24041
19,8137,33028,19963,28792
23,11824,39408,23161,33511
27,15365,45916,26113,38494
31,18968,52408,28942,43554
35,22531,58956,31661,48708
39,26366,65174,34385,53915
43,30137,71440,36930,59317
47,33846,77810,39303,64849
51,37653,84088,41635,70416
55,41473,90330,43854,76119
59,45340,96466,46090,81864
63,49087,102703,48216,87738
67,52699,109013,50227,93789
71,56330,115398,52183,99801
75,60175,121513,54183,105825
79,64004,127762,56076,111838
83,67814,133850,58003,117997
87,71703,139801,60022,124122
91,75607,145851,61911,130263
95,79514,151915,63720,136467
99,83425,158020,65454,142701
103,87266,164045,67166,149107
107,91202,170037,68850,155479
111,95151,175981,70546,161874
115,99225,181853,72280,168178
119,103209,187749,73936,174626
123,107206,193628,75592,181078
127,111193,199530,77196,187569
131,115236,205292,78833,194111
135,119210,211127,80442,200677
139,123204,216920,82023,207293
143,127171,222738,83562,213953
147,131268,228572,85076,220492
151,135229,234399,86551,227213
155,139296,240250,88015,233815
159,143377,246045,89492,240446
163,147426,251890,90894,247134
