epoch,mAP,asym_loss
0,64.5239028930664,11.646875926426478
1,68.49456787109375,8.478780814579554
2,76.50227355957031,7.806129387446812
3,76.60538482666016,7.523560387747628
4,85.0052261352539,22.031340190342497
5,86.02639770507812,16.579681941441127
6,89.8006820678711,11.132638386317662
7,78.05694580078125,7.852499825613839
8,87.93766021728516,13.5203161239624
9,81.37191772460938,10.136210305350167
10,88.06327819824219,6.80074759892055
11,90.0176010131836,4.7446803365434915
12,84.02794647216797,15.024995531354632
13,88.23641204833984,11.117458343505861
14,89.12420654296875,7.94050965990339
15,92.27326202392578,5.777794361114502
16,82.45509338378906,18.31457315172468
17,87.69119262695312,13.688384328569684
18,90.6541519165039,10.186937945229667
19,87.52023315429688,7.601100376674107
20,86.78201293945312,18.36983871459961
21,90.42198944091797,13.814646175929477
22,92.28390502929688,10.71651908329555
23,88.76435089111328,8.528242179325648
