agg_iter,precision,recall,avgloss
0,0.6307285185970744,0.20142521817357684,0.2206617338191995
1,0.6540038930543233,0.23025002057737812,0.1683111481563847
2,0.6540431588359346,0.25301982119117705,0.16502388585141542
3,0.6561906788046888,0.27857186856008465,0.1617699947562648
4,0.6468690412751092,0.3050436702462341,0.1597952817342475
5,0.6483015676527553,0.3164225148037001,0.1585221594673333
6,0.6389927325217712,0.3294070178661,0.158048979267544
7,0.6486106349996927,0.3304288726716778,0.15755544148785447
8,0.6384746380743003,0.3359623932949667,0.15760661760851083
9,0.6340848248952353,0.34652045184409586,0.15742818190277827
10,0.6790913735300396,0.3628737937556908,0.15091753334108793
11,0.6815230114549743,0.36910994097739247,0.15039849774036812
12,0.6846315782668655,0.36460580989577995,0.15065777741718436
13,0.6794441397506118,0.37041066862639477,0.1507783547644495
14,0.6763660867772545,0.37511684252554023,0.15100173181454737
15,0.677188898525367,0.3725804393749074,0.15150374263029923
16,0.6740233056500827,0.3791618742513388,0.15142142308479442
17,0.6751598708090473,0.3786841017478102,0.15120103225343828
18,0.6811624945534623,0.3773061389979525,0.1510930707609967
19,0.6740020016854114,0.3795233686252662,0.15082744360996098
20,0.6773260013189024,0.38008238837137837,0.15193782609116716
21,0.677732203649645,0.3838419198055289,0.15122981597100973
22,0.6770303904820482,0.3829807656400998,0.15122725438739845
23,0.6777303034912032,0.3855169735259799,0.15120937768407575
24,0.6787788413084832,0.3888451984676541,0.15097153713649572
25,0.6748223314056245,0.38970372919823854,0.1513622809171524
26,0.6792473575544112,0.38804410473958106,0.1508168776971639
27,0.6777677918507417,0.3915331455087852,0.1510971910454479
28,0.6797223112805211,0.3941802787022925,0.15072853650291237
29,0.6864638693559268,0.3875673233859264,0.15011084299311714
30,0.68148524100763,0.3911886618359498,0.150843174398949
31,0.6808624431745895,0.3935889001002872,0.15045542718912042
32,0.6814418641399569,0.3950887282652553,0.1504763368536097
33,0.6846277027234703,0.39438308059498706,0.15058209739177295
34,0.6826003057688327,0.3973301807193052,0.14995114212245084
35,0.6847628666682615,0.39737220615129865,0.14987204858540165
36,0.6820709838873532,0.3988696352457737,0.14979414695731844
37,0.6815789305982759,0.39709082867481177,0.15012364782012685
38,0.6843582797756725,0.40035098995316903,0.14941683473617717
39,0.686299747680917,0.3998063568519051,0.14926424495099197
40,0.6803633054271738,0.4053747721930715,0.14896449309439505
41,0.6822136118564887,0.4034025518799929,0.14895843530423314
42,0.6845230907971984,0.4019633027971095,0.1490736597210695
43,0.6824758693219367,0.4048507184766767,0.1486770930156723
44,0.6904988773981162,0.4009245739640997,0.1487894762515483
45,0.6863420777530179,0.40335663505511793,0.1486836370783869
46,0.6887532756066697,0.4037376644076987,0.1484711829005104
47,0.6841674606847706,0.40572189375487083,0.14847195564753785
48,0.6873649555268155,0.4047211121807291,0.14856805523097663
49,0.6888270593872214,0.406141430080921,0.14817534555068068
