epoch,mAP,asym_loss
0,50.12626647949219,3.8623962874459754
1,70.0713119506836,2.547283517153742
2,77.55644226074219,2.1005675151403205
3,81.7904281616211,1.8608990456208137
4,82.81391143798828,1.8232269559559637
5,85.38947296142578,1.6314250351768906
6,86.32731628417969,1.5101387562236364
7,88.03607177734375,1.430799204253717
8,88.25531005859375,1.3419720198553389
9,89.89401245117188,1.2809292190637511
10,90.31888580322266,1.2241317418591395
11,91.53291320800781,1.1582031298441087
12,92.00462341308594,1.1077241319240907
13,93.1324691772461,1.0553637629147414
14,93.49697875976562,1.0044654497612424
15,93.76104736328125,0.9635898303424961
16,94.84088134765625,0.8777915262325168
17,95.09455871582031,0.8884568757226952
18,95.08568572998047,0.8555515463104338
19,95.80870056152344,0.8179765010725949
20,95.84687805175781,0.8063756021188433
