epoch,obj_loss,reg_loss,overall_loss
0,0.17513866631263414,0.031004233336518253,0.20614289921429368
1,0.08762702008832524,0.030982144582828205,0.11860916473638218
2,0.07931244310991771,0.03096161597926563,0.11027405924138384
3,0.0741532583166537,0.03094155953812923,0.1050948178257924
4,0.07262376925621745,0.03092171171324955,0.10354548086799997
5,0.097786036417874,0.030437883391889402,0.12822391997283533
6,0.07788600265283986,0.030426906708062626,0.10831290911085877
7,0.07416286240494899,0.030413546889353583,0.1045764095878324
8,0.07182394200029997,0.030399408803868645,0.10222335084403074
9,0.069939009780028,0.030384835337763403,0.10032384512141528
10,0.07141250485721037,0.03036606460012467,0.10177856944646353
11,0.07039998240536986,0.030351142844743294,0.10075112520662727
12,0.06883468247718141,0.0303361119977869,0.09917079441336338
13,0.06730140534008522,0.03032097647669601,0.09762238180590986
14,0.0661961877073527,0.030305728762037323,0.09650191642952795
15,0.06872199364151475,0.0302871979396167,0.09900919168259846
16,0.06711811164995578,0.030271632002543375,0.09738974366699445
17,0.06615879032978289,0.030256041876449896,0.09641483221710424
18,0.06483637181324489,0.03024059764548033,0.09507696916157175
19,0.06426868980554763,0.030225136230340968,0.09449382606125531
20,0.06598241854067674,0.03020666853129747,0.09618908703211211
21,0.06615549048358137,0.03019082275534533,0.09634631319906453
22,0.06479926113082737,0.030175108013218,0.09497436912955014
23,0.06298283916256654,0.03015949555712568,0.09314233481391163
24,0.06325598345192492,0.03014386136171769,0.09339984498396223
25,0.0659353504616927,0.030125300599269364,0.0960606510102285
26,0.06409865438010437,0.030109403444751246,0.09420805794806568
27,0.06301317706066348,0.03009379498935975,0.0931069720536471
28,0.06215738910993246,0.03007817562263647,0.0922355650405939
29,0.06191019038397976,0.03006252873659946,0.09197271910970768
30,0.06437727024032217,0.03004399297128394,0.09442126330582555
31,0.06359188417371371,0.030027964623492744,0.09361984867762035
32,0.06191503082253467,0.030012329384423674,0.09192736019246302
33,0.06170369889079831,0.029996692724815848,0.09170039174244797
34,0.06050700750854224,0.02998108160591428,0.0904880891325757
35,0.06385059542736535,0.029962612729128226,0.09381320810213621
36,0.06193916556871119,0.0299467037247081,0.09188586944561986
37,0.06162565129769221,0.02993095245806624,0.09155660377750142
38,0.06070725794461222,0.029915393083736815,0.09062265116243037
39,0.06049669228842052,0.029899734713803933,0.0903964270964438
40,0.06237343879206406,0.029881226134410382,0.0922546651692707
41,0.061496336962520354,0.029865377455775832,0.09136171425160038
42,0.06052010250911987,0.02984962687766041,0.09036972936141348
43,0.06012856421071735,0.029833920615279515,0.08996248469916301
44,0.05917116823145967,0.02981833230834525,0.08898950058691464
45,0.061918662339159034,0.029799987427919283,0.09171864986129767
46,0.06078316096999185,0.029784117042583477,0.09056727788211769
47,0.06009879121955493,0.029768471214702826,0.08986726224944279
48,0.05931844914165336,0.02975284294062203,0.08907129203878952
49,0.05914741252269958,0.029737257525498762,0.08888467005544598
50,0.06124404964946821,0.02971898831412603,0.09096303787299864
51,0.061078788719868354,0.029703015526792893,0.090781804232166
52,0.05948936183672355,0.029687304299774116,0.08917666605677363
53,0.05892159283552538,0.029671744135451223,0.08859333685863803
54,0.058253321263953634,0.029656191729733907,0.08790951299731131
55,0.060679919046534615,0.029638038640153304,0.0903179575453588
56,0.06010810450328228,0.029622173882615024,0.08973027846199765
57,0.05923929412628194,0.02960651476979835,0.08884580887071353
58,0.058316518338795725,0.029591029879531966,0.08790754824731833
59,0.05774394168377155,0.02957562900035994,0.08731957062615035
60,0.060025849973906066,0.02955743580230362,0.08958328581244782
61,0.05960457402024173,0.029541668351667175,0.08914624229943244
62,0.058665494807789306,0.029526173474143914,0.08819166841239094
63,0.0578804655935514,0.029510730145506342,0.08739119571731474
64,0.05730417681720236,0.02949533365116044,0.08679951029441932
65,0.059547316645369955,0.029477072343346195,0.08902438900321138
66,0.05851631087218397,0.029461357347551263,0.0879776681400111
67,0.058641664607718524,0.0294457083162109,0.08808737301090112
68,0.05766464068992824,0.02943026399464576,0.08709490461572136
69,0.05658074666597383,0.029414859161882547,0.08599560587496603
70,0.06001454861725933,0.02939683335546969,0.08941138176254726
71,0.05847750149725244,0.029381089300236106,0.08785859080111239
72,0.057881041034940135,0.029365559971025235,0.08724660098784631
73,0.05712181572523331,0.0293501749424561,0.08647199051186491
74,0.05679492534279591,0.02933484920325909,0.086129774546055
75,0.058593495408297704,0.02931692449789103,0.08791041991706017
76,0.058221483599496,0.029301288041217333,0.08752277147764126
77,0.05697684155248022,0.029285802386324212,0.08626264380109916
78,0.05682046054808082,0.029270544938076327,0.08609100542817595
79,0.05608500958083319,0.029255232965783858,0.08534024255748852
80,0.05829078818631544,0.0292371078013852,0.08752789593334319
81,0.05780308048606848,0.029221426387560274,0.08702450694972912
82,0.05660578298313608,0.029206059778884713,0.08581184280550666
83,0.05637548132237873,0.02919082492879856,0.08556630619681997
84,0.05564711729231275,0.029175617554540307,0.084822734767129
85,0.05814181987181713,0.029157584504104776,0.08729940442665535
86,0.05706967970407076,0.029142082491273542,0.08621176219172057
87,0.05632087535402424,0.029126665775993894,0.08544754125322812
88,0.05578356165554856,0.029111504402547967,0.08489506617043503
89,0.05564153861935739,0.029096325656493373,0.08473786410915472
90,0.05737539984517754,0.029078325535739687,0.08645372522509281
91,0.05749082028257009,0.029062736957018706,0.08655355735917497
92,0.05642439052462573,0.029047496808902992,0.08547188759082028
93,0.055722031003074414,0.0290323418061383,0.0847543728055889
94,0.05468104263325497,0.029017283443491974,0.08369832604775627
95,0.057414666434264364,0.02899936964945569,0.08641403611271051
96,0.05643181808669743,0.028984018431157457,0.08541583654684554
97,0.05578226625832369,0.028968826595853297,0.08475109291215815
