agg_iter,mAP,avgloss
0,82.32612765085148,4.856085523148329
1,84.68863871035236,5.199951515116138
2,85.62083560591138,4.746052939838814
3,84.95067810655425,4.932685245186112
4,84.49943899361347,5.490796807870957
5,84.91729379142741,6.089625810530854
6,84.58392933404177,6.109665987329066
7,85.56467992934465,6.2843004189822755
8,84.4316865863545,6.844858538997428
9,85.8434257553,6.70466413921419
10,85.5420818758972,7.096034834812305
11,85.48359528684112,7.362643790962274
12,85.46520215569083,8.241889143451658
