agg_iter,mAP,avgloss
0,76.77393577970018,2.2872912895156583
1,80.91208444358203,2.042437141729867
2,82.24094021503522,2.125952148992905
3,81.3022440961915,2.341220867628714
4,78.87312622999056,2.6909283823143904
5,79.23434998788798,2.860501094137264
6,75.71124461776742,3.4802196960858565
7,74.4127822842481,3.3478606977495255
8,73.2689410673837,3.2400981064632455
9,74.99312820236642,3.053605892139516
10,71.8357527517221,3.404949496158603
11,73.51384988151798,3.67683134451621
12,70.65363607823409,4.0928166874916245
13,72.01536317976428,3.386815540562165
14,72.54357669444362,3.8563231530107878
15,70.22619840994588,4.0117069366669185
16,70.8527611789768,3.75211499432313
17,73.28612198960018,3.6692609070894084
18,71.31622212367533,3.930427761686195
19,70.94249056114025,4.098873346866133
20,70.00052556570978,4.4020446701767755
21,72.61332354967143,4.662222831029008
22,72.23632641443828,3.7631767019111537
23,72.25878518918536,3.7532885129516704
24,73.21311338017787,3.935618064002664
25,72.78081897803348,3.984834792435371
26,74.25486782319864,4.022176826492025
27,73.55029953541906,4.153520644865197
28,72.09115188056613,4.445106040428251
29,72.13090543379639,4.373246731091257
30,73.29160369053926,4.2685638506672
31,72.7572856804873,4.3738183295392385
32,73.07120734758897,4.232147932663363
33,74.29367741889475,4.044846318236104
34,74.52430574519505,4.4016549416159
35,74.1321170390473,4.159016069658123
36,75.17917158560371,4.349602336147066
37,74.89156904127326,4.56474564159452
38,74.8411797938578,4.391625079384792
39,74.75323324254876,4.239640926226329
40,74.85749429563067,4.483488368114278
41,76.43344250421899,4.274403894654187
42,75.03219414023766,4.40637732711678
43,75.86754809052043,4.319308122848259
44,75.94277896778333,4.384655304792384
45,75.21299661435759,4.128335715675564
46,75.57956895007985,4.107218918279654
47,75.86360683224201,4.124715539032969
48,76.53124832445646,3.9133984754824502
49,74.98535497524952,4.267301461139544
