3,0,24,0,0
7,0,48,0,0
11,0,72,0,0
15,0,96,0,0
19,0,120,0,0
23,0,144,0,0
27,0,168,0,0
31,0,192,0,0
35,0,216,0,0
39,0,240,0,0
43,0,264,0,0
47,0,288,0,0
51,0,312,0,0
55,0,336,0,0
59,0,360,0,0
63,0,384,0,0
67,0,408,0,0
71,0,432,0,0
75,0,456,0,0
79,0,480,0,0
83,0,504,0,0
87,0,528,0,0
91,0,552,0,0
95,0,576,0,0
99,4,596,0,0
103,10,614,0,0
107,16,632,0,0
111,25,647,0,0
115,30,666,0,0
119,38,682,0,0
123,44,700,0,0
127,54,714,0,0
131,62,730,0,0
135,71,745,0,0
139,81,759,0,0
143,89,775,0,0
147,98,790,0,0
151,106,806,0,0
155,117,819,0,0
159,125,835,0,0
163,134,850,0,0
167,144,864,0,0
