epoch,objective_loss,entropy_loss,overall_loss
0,7.283760104380862,1.5985769822563922,8.882337113501318
1,6.319125578437052,1.5206471194683664,7.839772728127492
2,5.927587576315438,1.3717368639690772,7.299324431889495
3,5.570407098447772,1.2218456318680675,6.792252721920819
4,5.878132225761954,1.4314271245204222,7.309559331813331
5,4.840324536175797,1.304822325706482,6.145146863561281
6,4.476083614456821,1.1901247870754186,5.666208394816225
7,4.449997666855932,1.1184088705291209,5.56840655165659
8,5.811792947876622,1.2570980770487181,7.068891068579446
9,4.823580681438177,1.143331493290377,5.966912195716105
10,4.4316998904859535,1.062638174480116,5.494338085953619
11,4.3636335755737745,1.013383192915312,5.377016776044605
12,5.779696733179227,1.146040041681747,6.925736779897985
13,4.699914885238863,1.0252433049846703,5.725158197779052
14,4.394725490623798,0.9762659568182177,5.370991424775459
15,4.139460664399913,0.9111698630829934,5.050630569458007
16,5.960613136560147,1.1173306065545954,7.077943724645696
17,4.667594060091904,1.0212048888206484,5.688798964863089
18,4.333004575380137,0.9841203882660665,5.317124957769688
19,4.121862767447888,0.9265589638495112,5.048421738852918
20,5.9270173966045085,1.0467078014158868,6.973725167798325
21,4.794324381250734,1.0020617985389604,5.796386171394668
22,4.47162544559425,0.9068696498870848,5.378495105555361
23,4.166210265226766,0.8492775794485923,5.015487838798844
24,5.818849912831481,1.0570422763555822,6.87589219590308
25,4.742115380058826,0.9679919665967912,5.710107366803666
26,4.520383677012484,0.8978786426530757,5.418262293640996
27,4.132089272351334,0.8613314406133035,4.993420721779408
