epoch,mAP,asym_loss
0,31.419939041137695,40.092443211873366
1,28.972932815551758,28.868305842081707
2,30.172351837158203,26.506531206766763
3,36.90826416015625,26.42189737955729
4,50.591766357421875,18.616444524129232
5,60.73175048828125,17.117196083068848
6,53.67411804199219,16.3042054494222
7,56.43840408325195,16.157971700032554
8,69.79164123535156,5.679463803768159
9,73.65364837646484,1.9213361501693722
10,70.17849731445312,1.6025391101837159
11,78.60244750976562,1.2876587669054667
12,71.57676696777344,5.797337881724039
13,66.3077621459961,1.9678354183832805
14,74.825439453125,1.4499514480431877
15,68.51499938964844,1.3475198249022164
16,73.52336120605469,5.553983990351358
17,73.64533233642578,1.994015288352966
18,72.64127349853516,1.6799491782983142
19,75.36275482177734,1.274518080552419
20,65.48960876464844,5.694343503316243
21,66.15392303466797,2.5151413321495055
22,82.1976089477539,1.4816426714261373
23,72.85986328125,1.3317702492078145
