agg_iter,mAP,avgloss
0,76.80593749811206,2.8791304713823638
1,81.19445932936797,2.401864271191709
2,82.26206506756913,2.4377479583997603
3,85.01927214595663,2.1538012925529526
4,84.9083372019789,2.4314157659939055
5,84.61547523533554,2.2361119884167793
6,84.95593854515549,2.4719985569439755
7,85.34780253005157,2.4769028937906703
8,85.53069614721758,2.257155027476705
9,85.30469969241497,2.45369058048649
10,86.01047286119463,2.396593239600443
11,86.14282915811533,2.624205926160863
12,86.21337160724434,2.5910181436314157
13,86.15117696725163,2.471613162206404
14,86.01945096246023,2.8074577043371147
15,86.02548291768363,2.735408348661292
16,85.9070827999507,2.8344383490830536
17,86.19760992674027,2.566679248195533
18,86.24006180391177,2.624791924236325
19,86.0110942891581,2.8284795859165865
20,86.29781215106672,2.7733865502195334
21,86.25028274359519,2.81749829939503
22,86.21471911955442,2.794934614674459
23,86.55251806164378,2.8234675273359557
24,86.50341111812922,2.7982880545667497
25,86.34624918547725,2.6707048652325334
26,86.5351289746481,2.625725803990576
27,86.55309497237182,2.7449186800601533
28,86.63391372187364,2.697673461031204
29,86.32969288853585,2.758773932864756
30,86.55336503025254,2.712959502755978
31,86.41497363941419,2.6731559128059956
