epoch,mAP,asym_loss
0,67.2630386352539,7.4395458698272705
1,79.75757598876953,5.911873769760131
2,82.93943786621094,5.705634689331055
3,88.83975219726562,5.593705940246582
4,92.90065002441406,14.568024826049806
5,93.87074279785156,7.644199657440186
6,98.18628692626953,3.060271024703979
7,97.90470886230469,1.2988936305046082
8,96.32490539550781,6.623981332778931
9,95.9828109741211,2.924428975582123
10,97.45909881591797,1.5901364386081696
11,98.75949096679688,0.8942607581615448
12,93.6409912109375,7.523429059982299
13,95.33097076416016,3.350252616405487
14,98.1850814819336,1.6715211629867555
15,96.8985824584961,1.0137111365795135
16,95.64115142822266,8.006637001037596
17,96.35874938964844,4.141909551620484
18,96.79381561279297,2.2018594264984133
19,98.19792175292969,1.257640719413757
20,96.23528289794922,7.549712896347046
21,92.10228729248047,4.485562014579772
22,96.42564392089844,2.0609523415565487
23,99.48568725585938,1.3222101986408235
24,97.47016143798828,8.352539491653442
25,95.54327392578125,4.981551218032836
26,98.47175598144531,2.7179548382759093
27,98.0081787109375,1.773958671092987
28,97.39313507080078,9.510601520538328
29,95.77525329589844,5.484934735298157
30,97.34778594970703,3.13888965845108
31,97.28434753417969,2.020004630088806
32,94.47285461425781,10.24100375175476
33,96.88272857666016,6.152553129196167
34,95.88267517089844,4.089305186271669
35,94.91131591796875,2.773973309993744
36,93.91576385498047,10.71248302459717
37,91.27669525146484,7.329310083389282
38,97.48966979980469,4.613177943229675
39,97.9897232055664,3.0500511646270754
40,93.75194549560547,10.79482364654541
41,89.94607543945312,7.59262433052063
42,97.87549591064453,4.5361319303512575
43,95.86444854736328,3.0139341473579404
44,90.02491760253906,11.764448070526123
45,96.9199447631836,7.357504129409789
46,95.7119140625,5.5770041227340705
47,98.34420776367188,3.727708220481872
48,93.21749877929688,11.463981342315675
49,96.32437896728516,7.816334247589112
50,96.15431213378906,5.850802326202392
51,93.7538833618164,4.674557447433472
