agg_iter,precision,recall,avgloss
0,0.5721189020308941,0.14413101015499866,0.6536031352957656
1,0.5610271433897364,0.14959358304455736,0.5194700022262895
2,0.5121356920050263,0.13684963507059947,0.4816785258191314
3,0.4805921301342245,0.14246806459009811,0.45017251280591053
4,0.5146930679035661,0.1404146972233651,0.44068243803450635
5,0.5146358687518667,0.14560552936067112,0.4362224157983499
6,0.5198389875410705,0.14543585799378628,0.43095506540335143
7,0.5042627743127059,0.1476385138379158,0.429586933425037
8,0.5050817790064304,0.1510338997314846,0.4293503382741392
9,0.5097042053235131,0.14884055173342334,0.4277137001289464
10,0.5559813660288141,0.1478763282641579,0.42040176886732994
11,0.549166482582812,0.14747035098875305,0.4199929188139266
12,0.5578791453502339,0.14766052126802956,0.4190422614422303
13,0.5561007005249474,0.15100764813887696,0.41836200534633355
14,0.5628697317989071,0.14797071193956954,0.41811251742684075
15,0.5605008242405456,0.14832246527860213,0.41804432071732556
16,0.5618117518222066,0.15219573872459213,0.4176719875684243
17,0.5655224409190823,0.1497150260719349,0.416916410870048
18,0.5679536160620574,0.1524035855923357,0.4170446196240693
19,0.5697849961065271,0.15152589331354546,0.41675010949378904
20,0.5712194445233213,0.15095093071744742,0.41648849401173266
21,0.573587075951593,0.15161586645870725,0.415846005133621
22,0.5714241969888806,0.15122143088943635,0.41592667894131696
23,0.5772933374901618,0.15181903465473431,0.41528536801838783
24,0.5729129185744577,0.15376105234976326,0.4153040547516606
25,0.5764346696957637,0.1528921587343233,0.41570319625930546
26,0.5773541312004087,0.15560499562344296,0.41516345465763094
27,0.5795231509989865,0.15298894502305246,0.41485102245487493
28,0.581826327133429,0.15483110656889124,0.4146758008112084
29,0.5833142557444388,0.1531372634367311,0.4148579678305682
30,0.5807525025946167,0.1542692050283978,0.41473135401319655
31,0.5819265318409155,0.1557359271608229,0.4140694206257282
32,0.5845121972411585,0.15693227153494332,0.41410214039450927
33,0.5843773793492086,0.15686475741103603,0.4137963911698994
34,0.5851950368872144,0.1568473819623566,0.41337509272598033
35,0.5855917978438695,0.15742290739443637,0.4136694664372262
36,0.5861388898210267,0.1581520785358994,0.41351101926756745
37,0.5878268855363671,0.1592901134834277,0.4131734825836723
38,0.5923542333835329,0.15592197391291412,0.4133241347332638
39,0.5920808885474889,0.1583119498465926,0.41282774184726506
40,0.5923754299988773,0.15930112138372007,0.4129253721070829
41,0.5942920973670968,0.16135344797981177,0.41281391440026566
42,0.593711495825336,0.1579088393659531,0.41235390375736264
43,0.596175600631598,0.15998401843268306,0.41240075179945596
44,0.5962878185902345,0.15870683533421806,0.4127135675991601
45,0.597693935670034,0.15945378195501597,0.4123236455801468
46,0.5977370759788994,0.15999182804450188,0.41225829513183143
47,0.5975169434851233,0.16070983566431155,0.4122602126174688
48,0.5983336459134744,0.16064724350219298,0.4123747675340618
49,0.6010105926068087,0.1595906296740294,0.4120068296626684
