agg_iter,precision,recall,avgloss
0,0.5941700312016912,0.17352240037567224,0.28582010242689826
1,0.40838917354979165,0.09343761216585522,0.30148311187482496
2,0.394874273652667,0.12959474946072208,0.28605593388939404
3,0.46551711887795055,0.15098171445135566,0.27116281003006704
4,0.4377403286396715,0.1318052957458479,0.2675938247636227
5,0.4655470371797466,0.13231050099577787,0.2657892631217117
6,0.45741374067289936,0.13635403388158746,0.26435114211471067
7,0.47047127412696654,0.1584401431017138,0.26346682946329114
8,0.46005478863796284,0.14654792267654843,0.26409475558060536
9,0.4599464951584106,0.13917394371437958,0.2637590082952253
10,0.4803808966881427,0.17275702934653137,0.24639852588147323
11,0.48884493566886883,0.16056804726729879,0.24620158312823193
12,0.48678204326419755,0.15881182271232616,0.2459329726609133
13,0.49422602343013694,0.1613021561215974,0.24698947222374618
14,0.5043238838430663,0.17249221522279323,0.24711344717112593
15,0.5156429711097438,0.1738780212280374,0.24867709830604998
16,0.5121164835821228,0.1677477110384333,0.25093100355533104
17,0.5049170180194682,0.17418791683145093,0.25333843595979466
18,0.5057428680225251,0.1832484826690059,0.2566643250410515
19,0.49858939382173995,0.16947885036914445,0.26018796143682216
20,0.5012622202643423,0.18826602283888838,0.2634195391981679
21,0.49641993975320536,0.19142911769334797,0.26865572576730007
22,0.4934198509427015,0.19014951521922188,0.2742180398705475
23,0.484278748167561,0.19916869842001342,0.28066577357775724
24,0.46735712189719353,0.1986032564778709,0.2874997729488913
25,0.455636892343969,0.19726337676290745,0.29323700493169064
26,0.43732064415466004,0.20385380222388488,0.30095725078684793
27,0.390896526468391,0.2153121394338003,0.31025731964641273
28,0.36693831904513485,0.2058761753798251,0.3179588534865988
29,0.3481050448779185,0.22414543645208312,0.32596122369662295
30,0.3071846415289313,0.23151951759437456,0.33512484873445497
31,0.2787036200970519,0.2193286587070845,0.3431350380888396
32,0.26457621307419926,0.23215041879301673,0.35111859373128346
33,0.22373595140412753,0.23720149886377095,0.3627996732758396
34,0.21276934147713544,0.23883521802782423,0.3691599791721912
35,0.18721535169664455,0.25172299587221764,0.38037751655831115
36,0.1751492541299416,0.26069499766592336,0.3894879518488119
37,0.16427648828783745,0.2658606158049637,0.3973555720810446
38,0.15248566947263054,0.2766645774617501,0.40586902107735073
39,0.14240323418677273,0.2705014343406221,0.4129364601801952
40,0.1340224202849396,0.2785919456575082,0.4209741076151028
41,0.1276791513068243,0.28319489017621974,0.42922625314282287
42,0.12355841378662885,0.2872682724842224,0.43538614210359755
43,0.11693427435288734,0.2998164234145875,0.4455715081168016
44,0.11675012043336137,0.31050891914614664,0.4501654695394809
45,0.10864904261179938,0.29942433368067994,0.4557965192618834
46,0.10871084213784855,0.3096415451975521,0.46118293729000515
47,0.10655232578922506,0.31381988304765607,0.4662578238617228
48,0.10357546143212847,0.3125586001148045,0.47167275779222645
49,0.10104620261616731,0.3125809632891311,0.47592925695727323
