epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,asym_loss,dynamic_adj_loss,overall_loss
0,0.43519950510361893,0.84,0.5733496332518337,0.08169790439097668,0.2751699409815428,0.1259895382623447,0.6666666666666666,0.33432835820895523,0.44532803180914515,0.24842558551198257,0.07354882524798251,0.1134960379790557,16.597137451171875,161.01657366071433,9.887799821581163,170.90437360491072
1,0.5331866519985332,0.8685782556750299,0.6607589184276302,0.22346100936881783,0.2980700148934731,0.25542881743186857,0.6761904761904762,0.33930704898446834,0.4518695306284805,0.6761904761904761,0.075,0.13502377179080824,20.10103988647461,85.93533935546874,5.040294701712472,90.97563432965958
2,0.5287234042553192,0.8944211157768446,0.6645865834633385,0.24017620243052828,0.3547644056680059,0.2864352056356967,0.6797619047619048,0.34253149370125974,0.4555245313123255,0.8071120246659815,0.07593207975360675,0.13880551225086202,24.5245418548584,64.22630517142163,4.464634731837683,68.6909399850028
3,0.5463695183321352,0.9047619047619048,0.681308830121022,0.2777565926623132,0.3814898153228567,0.32146192973063703,0.6833333333333333,0.3416666666666667,0.4555555555555556,0.7606625258799171,0.078125,0.14169681355723024,31.014272689819336,57.27580860682896,4.0770463943481445,61.35285491943359
4,0.5473417721518987,0.648859543817527,0.5937929140346059,0.2645421396219267,0.4603877951086616,0.336010327450829,0.7116104868913857,0.34213685474189676,0.46209971625456014,0.41102896411949974,0.2081927762868029,0.2763897182233247,44.565948486328125,17.32112516675676,0.013690622576645441,17.334815733773368
5,0.5572574762946754,0.9160671462829736,0.69297052154195,0.3228257207475385,0.4852891903117155,0.38772662275967273,0.8654761904761905,0.43585131894484413,0.5797448165869219,0.7088607625185364,0.20601769623752014,0.3192508466005544,45.02379608154297,11.294521331787108,0.05635492945356028,11.35087629045759
6,0.6336134453781512,0.9029940119760479,0.7446913580246913,0.37520313580347314,0.3735586966630957,0.37437911046543604,0.9047619047619048,0.4550898203592814,0.6055776892430279,0.9536412525383113,0.18305126197542193,0.3071459212056787,45.649139404296875,10.405987194606237,0.06719516760536601,10.473182351248605
7,0.6502755404832556,0.9114676173499703,0.7590301830776843,0.4870548970535525,0.40782893251453095,0.4439348933977196,0.9083333333333333,0.4533571004159239,0.6048355132778438,0.9033504932551223,0.1545085490453047,0.2638827450747838,42.92184829711914,10.033311244419643,0.054571982366698135,10.087883240836007
8,0.5693804403481822,0.6626936829558999,0.6125034425778022,0.22644025127011894,0.415701780505722,0.29318004732015734,0.7268170426065163,0.3456495828367104,0.46849757673667203,0.3989500352932799,0.24919046408704287,0.3067685001548993,41.271514892578125,16.81926789964947,0.009417900603563924,16.82868595123291
9,0.5778781038374717,0.9159212880143113,0.7086505190311417,0.3684629107938571,0.557493363726663,0.4436832131265666,0.8964285714285715,0.4490161001788909,0.5983313468414779,0.7816475571797079,0.18245978821406575,0.2958576105087155,48.331607818603516,10.693482603345597,0.03447628979172025,10.727958924429759
10,0.6427973199329984,0.9147794994040525,0.7550418101328087,0.4499893856569785,0.47609246767847707,0.4626730483378766,0.9,0.4505363528009535,0.6004765687053217,0.9401141699343277,0.17368902164231387,0.2932071153016326,47.991188049316406,9.969567489624025,0.040871462225914,10.01043891906738
11,0.6506994489190335,0.917513448894202,0.7614087301587301,0.4167152128822345,0.4820557735083856,0.4470103670911145,0.9261904761904762,0.4650328750747161,0.6191802626343016,0.9553026990474915,0.19848738898451973,0.32868290409258616,51.44392395019531,9.407489967346192,0.029106492788663934,9.43659644808088
12,0.5758483033932136,0.6918465227817746,0.6285403050108933,0.25968798864992904,0.4538612714472986,0.3303551059451414,0.7772337821297429,0.38069544364508395,0.5110663983903421,0.4451968906840087,0.26778411730313634,0.3344174811457744,42.96402359008789,16.093719618661062,0.005022991845336426,16.098742594037738
13,0.589272030651341,0.9165673420738975,0.7173507462686567,0.30182409727241294,0.4678247034739992,0.3669225981274481,0.9083333333333333,0.4547079856972586,0.6060365369340747,0.665289640022235,0.18855481164132576,0.29383235439877586,43.61472702026367,10.673089912959504,0.020928079598317186,10.69401799610683
