epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.40948275862068967,0.7480314960629921,0.5292479108635098,0.1117046219016539,0.22006982944183745,0.14818993439799819,0.7780119423955041,0.371083933657229,0.5024954627949184,0.2531724231436311,0.05448796510184409,0.0896758288297607,14.385978698730469,18.754004013638543
1,0.5103536158012105,0.80515999329871,0.6247237748602626,0.3046529624821085,0.31482812650908837,0.3096569794241089,0.8605549701440113,0.4104540123973865,0.5558076225045373,0.8319504019852967,0.06597530178691477,0.12225550201344766,23.7011775970459,14.91437465603612
2,0.5166896259404472,0.8168872507957782,0.6330001298195509,0.3002047043276968,0.35000171560507404,0.32319632143365173,0.8798735511064278,0.41966828614508295,0.5682849364791289,0.8795030338037821,0.07692608051352902,0.14147775340062796,29.606550216674805,14.03031140014905
3,0.5447500545732373,0.8361534595409617,0.6597052408961734,0.3497517965096235,0.39672887167025767,0.37176216748448193,0.8858447488584474,0.4225163343943709,0.572141560798548,0.8750297400929604,0.07864467387694345,0.14431849598600888,35.35819625854492,13.245437854478336
4,0.5399739429112874,0.7637795275590551,0.6326672217596447,0.3944425835413278,0.33800701165200153,0.3640506044539716,0.8448275862068966,0.39403585190149104,0.537415743173769,0.7009064318091017,0.11480006440226434,0.1972869013189673,31.36651611328125,15.87474739651721
5,0.5536923931149361,0.8353157982911711,0.6659543208227594,0.43563142909958186,0.38829677712638677,0.4106044159093586,0.8833860203723217,0.4213436086446641,0.5705535390199636,0.9341620985802321,0.11681041210297369,0.20765502160508478,38.78628921508789,13.216515777491724
6,0.5581780081614647,0.8478807170380298,0.6731843575418994,0.45052945697098945,0.4086091868358128,0.4285466062678783,0.9020021074815595,0.4302228178924443,0.5825771324863885,0.9601948283531082,0.13433603567165947,0.23569690166446916,40.9091796875,12.631222151908553
7,0.5669813441222746,0.8452002010387,0.6786843344319635,0.47288803235222365,0.4418727652027103,0.45685460733618155,0.8998946259220232,0.4292176243926956,0.5812159709618875,0.8808055319995023,0.1328868063434256,0.23093285749475428,42.57802963256836,12.416703705026324
8,0.5509546539379475,0.773496398056626,0.6435291657955259,0.3966164750121104,0.3626428606176962,0.37886958070049004,0.8564285714285714,0.40174233539956444,0.546926673508952,0.6981904937481083,0.1378578597795445,0.23025234552621862,34.837337493896484,15.319911676294664
9,0.5677397338186781,0.8361534595409617,0.6762872628726286,0.43369729619476516,0.3885389093096419,0.4098780211963109,0.8904109589041096,0.42469425364382646,0.5750907441016334,0.8749641073905646,0.1366202105382813,0.23633774950146372,38.10990524291992,12.912589041124876
10,0.5687283301644112,0.8519014910370246,0.6820925553319921,0.48442946562834205,0.4301959019504433,0.4557047689351442,0.9044608359676852,0.4313955436421511,0.5841651542649727,0.9084996581423669,0.14837207986971607,0.25508484897713846,44.2079963684082,12.385819194697532
11,0.5729225233329585,0.8535768135366057,0.6856412326739334,0.44996960485622844,0.44910183687409444,0.44953530208794534,0.9114857744994731,0.4347461886413135,0.5887023593466425,0.9356570267450715,0.14939143762073417,0.2576459078758049,46.07395935058594,11.953612343603828
12,0.5491288372644305,0.7761769140559558,0.6432042204636956,0.40745355965866664,0.37965221148664724,0.39306190012412107,0.8538845331432644,0.40140727089964817,0.546096866096866,0.68360370909545,0.14912811092392705,0.24484360344395642,36.44330596923828,15.232793038632689
13,0.5627494456762749,0.8503937007874016,0.6772966842351058,0.45081083525324445,0.42698933849401044,0.43857685629973286,0.9027046013347383,0.43055788239236054,0.5830308529945554,0.8835702893637294,0.14938343195582302,0.25555987548162606,42.29482650756836,12.596072020650912
14,0.5803439243821888,0.8537443457865639,0.6909830508474576,0.47572087930079116,0.47002882403365615,0.47285772266731496,0.9128907622058307,0.4354163176411459,0.5896098003629764,0.9034001929304378,0.16426604810052992,0.2779857109702039,48.57982635498047,12.06347820137729
15,0.5806890299184043,0.8584352487853912,0.6927600892313932,0.4652247121948417,0.46987702549622845,0.46753929576306613,0.9114857744994731,0.4347461886413135,0.5887023593466425,0.904377982835047,0.16823713180165398,0.28369907494407737,50.05945587158203,11.832350446396518
16,0.5533294048320566,0.786563913553359,0.6496471564964715,0.43472983690183975,0.38397399324026515,0.40777860151677786,0.8688233202986135,0.4094488188976378,0.5565930312001822,0.7124398267701871,0.1609056499898065,0.2625206094393855,36.58833312988281,14.650286105500552
17,0.56702307259426,0.8440274752889931,0.6783358018042278,0.4784299211460962,0.432686661336565,0.454410004700271,0.9012996136283807,0.42988775339252805,0.5821234119782215,0.8961878960033743,0.15748995352968279,0.26790083925173674,47.52425765991211,12.53323270493195
18,0.5816221177010439,0.8493885072876529,0.6904534931227018,0.47145350311985573,0.47438911834276554,0.4729167550914286,0.9076220583069898,0.43290333389177416,0.5862068965517241,0.9219598557303333,0.18986356811276434,0.3148819931507278,46.0756950378418,12.161858927301997
19,0.5912934186471663,0.8669793935332551,0.7030772366007743,0.513429871601746,0.5184941068918741,0.5159495627117124,0.9195644538110291,0.43859943039035015,0.5939201451905626,0.9588307574324549,0.1897160039426687,0.31675774269672236,54.22663116455078,11.37036842057685
20,0.5556354916067147,0.7763444463059139,0.6477042420854009,0.36676777616019474,0.38405904388599094,0.3752143042295979,0.8732595501606569,0.409783883397554,0.5578107183580389,0.7426905938374221,0.1571493050156468,0.2594090589047475,36.29288864135742,14.892150774723337
21,0.5705473306415433,0.8522365555369409,0.6835068861269734,0.49225299115689025,0.46186730537259235,0.47657630471590345,0.9090270460133474,0.43357346289160664,0.5871143375680581,0.93695179404003,0.16175685273657306,0.2758845555906814,45.55013656616211,12.340913924850335
22,0.5865109355318905,0.858100184285475,0.6967759488504965,0.48423407728022644,0.4985799676063238,0.4913023207602257,0.9128907622058307,0.4354163176411459,0.5896098003629764,0.9118920719091628,0.17721556825033336,0.29675941247219634,49.99916076660156,11.833517182774905
23,0.6014172862453532,0.8673144580331714,0.7102970432873704,0.5162208712891087,0.5023816924602057,0.5092072693139812,0.9213206884439761,0.4394370916401407,0.59505444646098,0.9646924935806052,0.1826017750231038,0.3070782562065232,51.83723068237305,11.278010131932104
24,0.5511903365779289,0.7874015748031497,0.6484547461368653,0.3404124964711924,0.4094202368447553,0.37174094631428867,0.8625981441827266,0.40492544814876863,0.5511344202485463,0.6870825508740693,0.16910611392702143,0.27141181588142615,39.55927658081055,14.652430406137675
25,0.5653100123332212,0.8446976042888256,0.6773240193444384,0.4327695705987404,0.43853799831507234,0.43563468973105657,0.9062170706006323,0.4322332048919417,0.5852994555353903,0.9205399368730529,0.16644849450548568,0.2819210990688741,42.349212646484375,12.496258895938132
26,0.5920676648759858,0.8678170547830457,0.7038999864111971,0.5522853336513116,0.5374643973742248,0.544774080834472,0.9128907622058307,0.4354163176411459,0.5896098003629764,0.9470841325504253,0.198652107047965,0.32841809830294644,51.817630767822266,11.577259167903609
