epoch,objective_loss,entropy_loss,overall_loss
0,7.31203421068863,1.3741344263855837,8.686168637074212
1,6.290255079806689,1.3106655486872503,7.600920636888959
2,5.896402127306226,1.159162546547366,7.0555646385945066
3,5.610779893230384,1.0301469354562356,6.640926831205126
4,6.227493027566185,1.1870241475776888,7.414517140724291
5,4.835008050354435,1.0459141588546859,5.880922196616588
6,4.556633697429173,0.9783760510699849,5.535009790474259
7,4.380009288519202,0.8966192661876408,5.2766285446328185
8,5.768033618658362,1.0334096534151427,6.801443264517987
9,4.792940086042379,0.9148754964412099,5.707815586681098
10,4.359496257674527,0.858685297025761,5.218181563095307
11,4.1560641342485445,0.8228106683408708,4.9788747841203715
12,5.845477134409085,0.9489615996119002,6.794438694564389
13,4.607439877281725,0.8898182007628428,5.4972580856000866
14,4.434534217270327,0.7975603434401496,5.232094526290894
15,4.182915502870586,0.745464863071979,4.928380348313024
16,5.829238619602901,0.8694100262413562,6.698648647523263
17,4.831797609866506,0.816340641236641,5.648138237671115
18,4.431979300270619,0.7439738894012613,5.175953203523664
19,4.230055654552622,0.709061533632413,4.939117193222046
20,5.782961704361606,0.8158195136298598,6.598781253250552
21,4.701479505485214,0.7585839981764133,5.460063464205032
22,4.430974107393077,0.7319400113233379,5.162914094790607
23,4.228469210611263,0.7167071767256293,4.945176369707347
