3,216,0,0,0
7,330,0,0,102
11,364,0,0,284
15,373,0,0,491
19,382,0,0,698
23,400,16,0,880
27,416,65,0,1031
31,435,109,0,1184
35,460,163,0,1321
39,485,210,0,1465
43,501,264,0,1611
47,516,328,0,1748
51,529,379,0,1900
55,541,444,0,2039
59,555,515,0,2170
63,567,578,0,2311
67,575,643,0,2454
71,579,712,0,2597
75,582,780,0,2742
79,584,862,0,2874
83,585,934,0,3017
87,585,1008,0,3159
91,585,1081,0,3302
95,585,1158,0,3441
99,585,1232,0,3583
103,585,1315,0,3716
107,585,1395,0,3852
111,585,1483,0,3980
115,585,1572,0,4107
119,585,1661,0,4234
123,585,1750,0,4361
127,585,1834,0,4493
131,585,1928,0,4615
135,585,2019,0,4740
139,585,2120,0,4855
143,585,2216,0,4975
147,585,2312,0,5095
151,585,2415,0,5208
155,585,2518,0,5321
159,585,2623,0,5432
163,585,2731,0,5540
167,585,2839,0,5648
