epoch,mAP,asym_loss
0,58.89109420776367,8.844255924224854
1,70.24142456054688,6.394397258758545
2,74.6143798828125,5.27226984500885
3,98.70130157470703,4.94870388507843
4,81.26082611083984,16.46562623977661
5,94.99291229248047,15.308070659637451
6,97.18547821044922,11.65503740310669
7,95.88116455078125,9.897744178771973
8,97.2727279663086,6.38085675239563
9,92.62987518310547,4.154443979263306
10,84.44568634033203,3.329342246055603
11,98.69615173339844,2.1510003805160522
12,77.67857360839844,6.237756252288818
13,99.75340270996094,4.708199083805084
14,97.92953491210938,3.377296566963196
15,86.70635223388672,2.8654325008392334
16,95.578369140625,7.652144551277161
17,84.61333465576172,6.0439687967300415
18,100.0,2.8293140828609467
19,85.50618743896484,2.32594895362854
20,85.69444274902344,6.987261652946472
21,97.4880599975586,5.07917857170105
22,99.30489349365234,2.4478912353515625
23,98.4495849609375,2.031443729996681
24,98.8223876953125,7.920119047164917
25,85.07653045654297,5.955352425575256
26,98.92857360839844,3.8248004019260406
27,76.92550659179688,3.144209146499634
28,78.45238494873047,7.282817006111145
29,76.59954071044922,5.196595907211304
30,98.54460906982422,2.627469003200531
31,99.43452453613281,1.607005774974823
32,94.90923309326172,10.70527195930481
33,96.74449920654297,7.110545992851257
34,98.54460906982422,4.040443569421768
35,96.71134948730469,1.8717188984155655
36,98.70469665527344,10.173656582832336
37,98.84222412109375,6.948523759841919
38,98.12794494628906,4.936316788196564
39,98.70130157470703,2.109698921442032
40,98.12794494628906,9.57856011390686
41,97.02523040771484,7.437667965888977
42,93.95088958740234,5.8490630984306335
43,96.7616195678711,2.66959610581398
44,98.61495208740234,9.316105365753174
45,94.67262268066406,7.748279929161072
46,94.106201171875,5.519073724746704
47,99.16960906982422,2.961162179708481
48,77.72239685058594,9.390923023223877
49,98.06688690185547,6.888455629348755
50,92.05043029785156,6.395336627960205
51,81.00340270996094,3.1866407990455627
52,98.69615173339844,9.458478808403015
53,78.12641906738281,8.416018962860107
54,94.80730438232422,6.535811066627502
55,93.32341003417969,5.144626021385193
