epoch,mAP,loss
0,89.20000457763672,2.2336447636286416
1,73.36666107177734,1.8686962525049846
2,81.28333282470703,0.9983566999435425
3,99.33333587646484,0.9167995055516561
4,96.0,4.036441008249919
5,96.0,2.2158696254094443
6,95.0,1.122215211391449
7,88.33333587646484,0.8294445474942526
8,88.19999694824219,3.9065452416737876
9,96.20000457763672,1.7698864539464314
10,98.53333282470703,0.7893184423446655
11,100.0,0.6702848871548971
12,97.53334045410156,4.844326814015706
13,97.53334045410156,2.1698482831319175
14,95.86666870117188,1.5292012691497803
15,88.19999694824219,1.0521822075049083
16,99.33333587646484,3.9542857011159263
17,98.53333282470703,2.0544636646906533
18,96.0,1.044147551059723
19,89.20000457763672,0.7745893200238546
20,94.20000457763672,5.502090136210124
21,90.20000457763672,2.9954368273417153
22,95.20000457763672,1.4751530488332112
23,98.53333282470703,0.6357673605283102
24,88.33333587646484,6.059464931488037
25,94.61666870117188,2.7598218520482383
26,99.33333587646484,1.3230395515759785
27,97.53334045410156,1.1421045064926147
28,95.20000457763672,5.468651453653972
29,96.0,3.1758310000101724
30,100.0,1.5434809525807698
31,96.0,1.0271097819010417
32,90.20000457763672,4.861267487208049
33,92.28333282470703,3.0246480305989585
34,95.20000457763672,1.3099669019381206
35,99.33333587646484,0.5483274509509405
36,90.86666107177734,5.626269022623698
37,97.53333282470703,2.781967878341675
38,95.20000457763672,1.9895319143931072
39,94.20000457763672,1.5758039553960164
40,97.53334045410156,5.075366497039795
41,97.53333282470703,3.6021622816721597
42,93.19999694824219,2.5929712454477944
43,98.53333282470703,1.2063653469085693
44,98.33334350585938,4.433125972747803
45,98.53333282470703,4.8461231390635175
46,96.86666870117188,2.6215025981267295
47,97.53334045410156,1.2693241834640503
48,97.53333282470703,6.892136414845784
49,96.20000457763672,5.1113707224528
50,97.66666412353516,2.3755064010620117
51,99.33333587646484,1.281057099501292
52,96.53333282470703,5.685176372528076
53,91.19999694824219,4.655874053637187
54,97.53334045410156,2.6639370918273926
55,93.19999694824219,1.7062620321909585
56,94.53333282470703,7.41173521677653
57,96.53333282470703,5.710906982421875
58,96.86666870117188,3.7676658630371094
59,95.86666870117188,2.7505116065343223
60,92.86666870117188,7.461010138193767
61,95.0,5.1088643074035645
62,89.20000457763672,4.071443637212117
63,98.53333282470703,1.7141369978586833
64,93.86666107177734,5.574487845102946
65,96.20000457763672,4.365961790084839
66,96.20000457763672,2.4191929499308267
67,98.33334350585938,1.7279014587402344
68,95.20000457763672,6.937948544820149
69,96.53333282470703,5.503260453542073
70,94.20000457763672,3.6250130335489907
71,94.20000457763672,2.558974266052246
