epoch,mAP,asym_loss,dynamic_adj_loss,overall_loss
0,43.438331604003906,288.9347839355469,764.7014007568359,288.9347839355469
1,47.33014678955078,150.35185050964355,692.5908355712891,150.35185050964355
2,56.417118072509766,131.21245956420898,679.4171295166016,131.21245956420898
3,68.12586212158203,131.21245956420898,656.6780395507812,131.21245956420898
4,75.86005401611328,50.192209243774414,64.08558940887451,50.192209243774414
5,77.77162170410156,45.29825210571289,61.86946487426758,45.29825210571289
6,77.07186889648438,41.91127014160156,61.31572723388672,41.91127014160156
7,79.71527862548828,38.86445665359497,56.90676689147949,38.86445665359497
8,78.34993743896484,49.3675594329834,80.2899227142334,49.3675594329834
9,79.63829040527344,46.31085968017578,77.82999038696289,46.31085968017578
10,80.11473083496094,40.570900440216064,75.32215309143066,40.570900440216064
11,80.15969848632812,37.589269161224365,68.84153938293457,37.589269161224365
12,98.4469985961914,15.733392477035522,68.37635231018066,15.733392477035522
13,97.24923706054688,11.310542583465576,65.7047872543335,11.310542583465576
14,98.07366943359375,8.325463771820068,68.74467372894287,8.325463771820068
15,80.33250427246094,6.55519700050354,67.69394588470459,6.55519700050354
16,95.9917221069336,15.8899405002594,67.31294059753418,15.8899405002594
17,96.67059326171875,11.33776330947876,65.47784233093262,11.33776330947876
18,99.349365234375,7.357317924499512,67.93412494659424,7.357317924499512
19,99.18997955322266,5.718196988105774,72.90990924835205,5.718196988105774
20,98.30113983154297,16.475553512573242,64.75399971008301,16.475553512573242
21,95.58064270019531,14.22348403930664,70.22001934051514,14.22348403930664
22,96.88677978515625,9.46886157989502,73.06518745422363,9.46886157989502
23,98.79379272460938,7.110189437866211,77.20769500732422,7.110189437866211
24,97.54653930664062,15.346636772155762,55.15760040283203,15.346636772155762
25,96.17089080810547,13.972025156021118,59.08258247375488,13.972025156021118
26,97.93594360351562,10.188856363296509,60.305813789367676,10.188856363296509
27,98.44146728515625,8.579352378845215,57.36942386627197,8.579352378845215
28,96.2322998046875,21.486883878707886,70.87445831298828,21.486883878707886
29,97.50360107421875,16.452925205230713,68.39627647399902,16.452925205230713
30,97.44046783447266,16.253801345825195,64.17176818847656,16.253801345825195
31,97.1077880859375,13.601511478424072,67.66750907897949,13.601511478424072
32,95.78999328613281,17.333089113235474,91.35752868652344,17.333089113235474
33,96.66636657714844,15.58901596069336,98.5382022857666,15.58901596069336
34,97.14228057861328,11.936119556427002,89.66712951660156,11.936119556427002
35,97.27011108398438,9.879536151885986,86.15351295471191,9.879536151885986
36,97.30767822265625,15.895965576171875,78.00954627990723,15.895965576171875
37,97.60987091064453,17.08656072616577,75.80661392211914,17.08656072616577
38,97.48770904541016,11.576448917388916,89.85201454162598,11.576448917388916
39,97.67457580566406,10.381619691848755,88.68598556518555,10.381619691848755
40,96.19322204589844,24.90693473815918,75.7131233215332,24.90693473815918
41,97.85972595214844,18.663585662841797,77.33912467956543,18.663585662841797
42,98.11051940917969,16.8313307762146,73.6977310180664,16.8313307762146
43,98.739501953125,15.042250633239746,86.34619903564453,15.042250633239746
44,98.59134674072266,20.512810230255127,105.95431709289551,20.512810230255127
45,93.7680435180664,18.259514331817627,87.2153491973877,18.259514331817627
46,98.074462890625,14.584788799285889,88.16067886352539,14.584788799285889
47,95.75985717773438,14.443972110748291,95.42811393737793,14.443972110748291
