epoch,mAP,entropy_loss,relation_loss,overall_loss
0,56.41270446777344,7.712195821581776,2.0982789735204297,9.810474795102213
1,73.34823608398438,5.685091312676885,2.027060454645884,7.712151767322768
2,77.69364929199219,5.091086438710264,2.062674491908283,7.153760930618544
3,80.0617904663086,4.699169564484145,2.073306916594033,6.772476481078185
4,82.74908447265625,4.484997050958148,2.0794072848367464,6.564404335794894
5,83.37539672851562,4.331639556387712,2.080130291249167,6.411769847636881
6,86.0398178100586,4.098422643890169,2.089880986665997,6.188303630556172
7,85.51422882080078,4.067666167074607,2.0877219597269874,6.155388126801593
8,88.1927490234375,3.578957221392124,2.1119342013117874,5.690891422703912
9,88.90684509277344,3.538868788236452,2.132294183299713,5.67116297153617
