epoch,objective_loss,entropy_loss,overall_loss
0,8.118909574136499,1.4757964305761382,9.594705988721143
1,7.3636600883995635,1.1930002777314765,8.556660364313824
2,7.051291035442819,1.088181472042711,8.139472507848975
3,6.895648761493402,0.9845013742039853,7.8801501349705
4,6.2394722816420805,1.2064077345336355,7.445880000184223
5,5.479818630509263,1.0283276714929728,6.5081463005484625
6,5.310784268669968,0.8695476803837755,6.180331926520278
7,5.001416268872048,0.822375459641945,5.8237917190644755
8,6.054449955137764,1.0090738196925415,7.063523772286205
9,5.470850072255951,0.8387599878194857,6.309610076066923
10,5.116798844279312,0.8061911005799359,5.922989958670081
11,5.054719544765423,0.7676651982999428,5.822384760147188
12,5.995751353298749,0.9259943435104883,6.9217457189792535
13,5.482424144337819,0.8325452023163074,6.31496934629068
14,5.154112382632927,0.7744002760183519,5.9285126720986705
15,4.887382194763276,0.733219102206754,5.6206012993324075
16,6.039453494839551,0.8977793615038803,6.937232843259484
17,5.449097578118488,0.766797450439232,6.215894995666126
18,5.102723269927791,0.7175160837246151,5.820239350563141
19,4.940646271880073,0.6468310448818089,5.587477313309182
20,6.092864458153887,0.8688992225542298,6.961763693065178
21,5.425778341002581,0.7175768722848195,6.143355216921828
22,5.2221755821530405,0.6398234317397199,5.861999024705188
23,4.914801071329815,0.5706629084377757,5.485463982675133
24,6.1306636493380475,0.7705354089053666,6.901199050065948
25,5.47253977525525,0.6774064452364674,6.149946231667586
26,5.10034067892447,0.6053006629027973,5.705641346733746
27,4.960465354163476,0.5699755931045952,5.530440941089535
