3,424,0,0,0
7,682,0,0,166
11,860,0,0,412
15,1013,0,24,659
19,1168,0,65,887
23,1302,0,125,1117
27,1425,0,189,1354
31,1547,0,258,1587
35,1652,0,322,1842
39,1768,4,410,2058
43,1882,15,488,2279
47,1969,27,560,2532
51,2059,35,641,2777
55,2145,63,719,3009
59,2219,80,793,3268
63,2292,92,886,3514
67,2358,105,974,3771
71,2415,120,1063,4034
75,2468,137,1143,4308
79,2524,158,1227,4571
83,2573,178,1321,4832
87,2619,198,1409,5102
91,2659,214,1501,5378
95,2691,231,1593,5661
99,2721,245,1688,5946
103,2758,272,1786,6208
107,2786,295,1882,6485
111,2817,315,1995,6745
115,2849,341,2096,7010
119,2884,373,2193,7270
123,2906,396,2300,7542
127,2938,428,2412,7790
131,2964,453,2510,8065
135,2987,475,2635,8319
139,3004,496,2739,8601
143,3022,515,2853,8874
147,3045,538,2963,9142
151,3063,564,3086,9399
155,3075,583,3207,9671
159,3088,608,3339,9925
163,3099,628,3457,10200
167,3115,656,3583,10454
