epoch,mAP,support_loss,query_loss
0,88.0,8.759736696879068,7.944370110829671
1,90.0,6.631688594818115,6.321533997853597
2,88.02381896972656,5.892402807871501,5.6807487805684405
3,94.19047546386719,5.236624081929524,5.209633191426595
4,98.8888931274414,5.119272391001384,5.031668186187744
5,95.84697723388672,4.873669942220052,5.110533237457275
6,91.66667175292969,4.83111556371053,4.857141812642415
7,97.73384094238281,4.845818837483724,4.972524801890056
8,98.33334350585938,4.786965688069661,4.759916623433431
9,100.0,4.79810110727946,4.7204030354817705
10,85.74603271484375,7.419390678405762,6.611780643463135
11,91.87698364257812,5.980194091796875,5.776920000712077
12,86.76215362548828,5.385032018025716,5.324236869812012
13,100.0,4.897068341573079,4.867726008097331
14,90.93650817871094,4.747380097707112,4.65098253885905
15,95.30258178710938,4.416423161824544,4.365142345428467
16,99.05258178710938,4.306131839752197,4.318112373352051
17,93.4079360961914,4.245437939961751,4.325546900431315
18,95.22278594970703,4.233155409495036,4.158647060394287
19,98.80952453613281,4.116250991821289,4.045169194539388
20,90.0,4.139930486679077,3.8752522468566895
21,95.01091003417969,3.646474520365397,3.5086366335550943
22,100.0,3.260427236557007,3.1732750733693442
23,85.16989135742188,3.0931900342305503,3.0499343872070312
24,92.9297103881836,2.9945669968922934,2.962580601374308
25,95.83332824707031,2.871455987294515,2.953174034754435
26,95.1388931274414,2.991406202316284,2.8718448479970298
27,98.5,2.724095900853475,2.785774072011312
28,98.44812774658203,2.755894104639689,2.741696834564209
29,100.0,2.7373039722442627,2.6486382484436035
30,87.53174591064453,3.7555150190989175,3.6462972164154053
31,90.0,3.226215203603109,3.136237382888794
32,88.65576171875,2.8639129797617593,2.9676175912221274
33,94.29818725585938,2.782982428868612,2.7387020587921143
34,97.6388931274414,2.57381542523702,2.573706944783529
35,100.0,2.412895997365316,2.3531230290730796
36,88.05554962158203,2.534153938293457,2.3698124090830484
37,93.20295715332031,2.3021653493245444,2.3378411134084067
38,97.74304962158203,2.231100082397461,2.1928392251332602
39,98.85714721679688,2.2320080598195395,2.121287186940511
40,84.30078887939453,3.579885959625244,3.502625306447347
41,90.25114440917969,3.0905314286549888,3.092263380686442
42,96.03174591064453,2.8892006079355874,2.810197353363037
43,90.0,2.6081467469533286,2.588027000427246
44,96.32638549804688,2.5140860080718994,2.5717830657958984
45,95.0,2.3017675081888833,2.3029069105784097
46,97.3866195678711,2.239792505900065,2.323806365331014
47,98.05555725097656,2.043801784515381,2.112983783086141
48,94.50000762939453,2.128093957901001,2.187976121902466
49,97.90972137451172,2.242640177408854,2.178351720174154
50,90.54875183105469,3.5460336208343506,3.331747611363729
51,90.38095092773438,3.184976100921631,3.1143550078074136
52,95.42758178710938,2.9049254258473716,2.809258063634237
53,97.90929412841797,2.7528467973073325,2.624347368876139
54,91.0763931274414,2.5356364250183105,2.484651724497477
55,85.5,2.376335620880127,2.454078197479248
56,98.99999237060547,2.3449059327443442,2.230985164642334
57,94.72222137451172,2.2405587832132974,2.3442982832590737
58,95.0,2.297081152598063,2.1704463164011636
59,91.66666412353516,2.107872168223063,2.1068901220957437
60,96.49375915527344,3.4453550974527993,3.4664879639943442
61,85.91978454589844,3.092862606048584,3.1920900344848633
62,88.22221374511719,2.952503760655721,3.0581327279408774
63,98.63591003417969,2.8105197747548423,2.658193906148275
64,80.16493225097656,2.731598456700643,2.7321509520212808
65,94.21825408935547,2.624359448750814,2.5769192377726235
66,91.96923828125,2.512861887613932,2.505859851837158
