agg_iter,mAP,avgloss
0,61.80952599167086,7.843434697598965
1,66.09310505580959,6.571543687147147
2,70.15532807346543,6.240082517725002
3,72.0281863542784,5.511879856984877
4,72.43923534849309,6.168149461733037
5,72.65559593966516,6.679210991233317
6,72.81297362842761,6.910010694132793
7,74.13723799416796,7.029105640890409
8,74.49102993007668,6.922301874915407
9,74.17830005250656,7.449427846914084
10,74.9422078769237,7.303815795637111
11,75.84359925893747,6.896010538274352
12,74.81024630182495,6.979557285862991
13,75.4927609682892,7.188009895264403
14,75.5100707718532,7.531971495272301
15,75.86273934831165,7.729215732922617
16,76.29612693641981,7.378607347046414
17,76.19179431760746,7.613169417410579
18,76.7425233372384,7.662672711886761
19,76.36603578496327,7.4227598264561285
20,76.4968517511292,7.685138494033572
21,76.4625556388555,7.876366386904733
22,76.24927076477891,7.8687391044780375
23,76.18777937499902,7.530343694839848
24,75.99421983306647,8.155664104217687
25,76.22486258380975,7.6470268894890285
26,75.4336293383621,8.209123217799995
27,76.28447848692836,8.170308249736541
28,76.45588227094849,8.104303148075354
29,76.50439663538555,8.382108140408162
30,76.37381075156993,7.812532463476278
31,76.31590154750978,7.739899041065006
32,75.82014821147138,8.017816095545218
33,76.28246075948587,8.319569095361027
34,75.5316842695216,8.314369590400668
35,75.92174439743307,8.208596558106997
36,76.3726096944023,8.003166786883176
37,76.45873806400942,8.152995432166199
38,76.14497844807951,8.476930095284583
