epoch,objective_loss,entropy_loss,overall_loss
0,4.4580928000104745,1.5088235195292983,5.966916325084396
1,3.6298386319927225,1.3206463287835108,4.950484960182165
2,3.2771387496263875,1.2414790312713169,4.518617786046279
3,3.1601954496580125,1.2057141239856959,4.365909574039751
4,3.0934099648085955,1.3515795813842466,4.444989545796795
5,2.737482999250343,1.2084572077589577,3.9459402133460078
6,2.578336409556115,1.17511219202086,3.7534486007848846
7,2.4509726057813004,1.1694003173283165,3.6203729235056614
8,3.0414638372750775,1.248423855170062,4.28988769521745
9,2.6769547143647823,1.1800248717944868,3.8569795867533383
10,2.451408608213215,1.1691203077766184,3.62052890985115
11,2.3933910328486445,1.1735218434634795,3.5669128704704702
12,2.9944497798368386,1.213119466835477,4.207569245880227
13,2.6897663507746667,1.1701205568852222,3.8598869092440697
14,2.5009672729873973,1.1573457971363759,3.658313064084098
15,2.3254153821555477,1.149270140847495,3.474685522012932
16,2.93124142417876,1.194551676214731,4.125793095046896
17,2.6539800747288425,1.1643302313909185,3.818310312258446
18,2.389499645791576,1.1423617035051514,3.5318613444451854
19,2.2429750584486725,1.148914479734098,3.3918895436283765
20,2.9983308980631254,1.194416781596567,4.192747684016182
21,2.5824863764138666,1.1597577369094287,3.742244108174726
22,2.4065077023648733,1.1589126380971104,3.5654203384817618
23,2.2671267151634558,1.150837247949898,3.417963963014344
24,3.0574422068770146,1.1753982452063092,4.232840450895181
25,2.6180666148464535,1.1700028886034637,3.788069504836072
26,2.4023293258739837,1.15289247313211,3.5552217992041184
27,2.2597515331550295,1.150614168952866,3.410365698345475
28,3.0301775752111912,1.1960261066094595,4.2262036859791134
29,2.638396468075407,1.1642720481486026,3.802668519194338
30,2.427354299744894,1.1567642668949008,3.5841185543624254
31,2.289006893420934,1.1504065368658685,3.4394134267224037
