epoch,mAP,asym_loss,dynamic_adj_loss,overall_loss
0,64.34424591064453,234.60903930664062,148.43118286132812,383.04022216796875
1,68.02738189697266,121.68457794189453,116.79647827148438,238.48104858398438
2,69.34583282470703,104.23455810546875,112.63754272460938,216.87210083007812
3,68.95536041259766,102.55123901367188,106.7694091796875,209.32064819335938
4,83.72222900390625,51.510475158691406,29.57895851135254,81.08943176269531
5,86.0763931274414,46.0784912109375,29.611204147338867,75.689697265625
6,89.5,36.8757438659668,29.530685424804688,66.40643310546875
7,89.05258178710938,31.49625015258789,29.968978881835938,61.46522903442383
8,84.0,40.31005096435547,23.38820457458496,63.69825744628906
9,76.66667175292969,33.312171936035156,22.87226676940918,56.18444061279297
10,84.0,20.18719482421875,22.332008361816406,42.519203186035156
11,85.0,10.026371002197266,22.150779724121094,32.17715072631836
12,80.46924591064453,32.94731903076172,16.725067138671875,49.672386169433594
13,84.0,23.419204711914062,16.867252349853516,40.28645706176758
14,70.0,15.598342895507812,16.724637985229492,32.32298278808594
15,81.86666107177734,8.601408004760742,16.782262802124023,25.383670806884766
16,88.83332824707031,36.75843811035156,13.246602058410645,50.00503921508789
17,74.72222137451172,26.326519012451172,12.398641586303711,38.72515869140625
18,72.83333587646484,18.651020050048828,12.765236854553223,31.416255950927734
19,89.05258178710938,10.159793853759766,13.17441177368164,23.334205627441406
20,76.3888931274414,29.228588104248047,9.460537910461426,38.689125061035156
21,74.0,20.02093505859375,9.489027976989746,29.509963989257812
22,73.33333587646484,13.200155258178711,9.883191108703613,23.08334732055664
23,99.72222137451172,6.6188859939575195,9.42575740814209,16.04464340209961
24,68.6111068725586,43.411041259765625,7.8882880210876465,51.2993278503418
25,84.5,31.83881950378418,6.903666019439697,38.74248504638672
26,75.71924591064453,24.81597900390625,6.923685073852539,31.73966407775879
27,74.72222137451172,14.783056259155273,7.049346923828125,21.8324031829834
28,72.85713958740234,37.07688522338867,5.166487216949463,42.24337387084961
29,76.66667175292969,27.808658599853516,5.067923545837402,32.876583099365234
30,90.0,17.4072265625,5.988675594329834,23.395902633666992
31,72.85713958740234,11.55860710144043,4.969571113586426,16.528179168701172
32,80.0,35.68318176269531,4.223241806030273,39.90642547607422
33,73.33332824707031,27.629268646240234,3.764922857284546,31.39419174194336
34,66.66666412353516,18.030105590820312,4.07183313369751,22.101938247680664
35,86.66666412353516,11.715851783752441,4.2916646003723145,16.007516860961914
36,71.69047546386719,43.44464874267578,2.9975318908691406,46.44218063354492
37,73.05258178710938,30.28231430053711,2.879303216934204,33.161617279052734
38,65.55555725097656,24.63545036315918,3.256566047668457,27.892017364501953
39,73.33333587646484,13.82404613494873,3.1970295906066895,17.021076202392578
40,75.0,33.37066650390625,2.6516785621643066,36.02234649658203
41,71.66667175292969,28.564773559570312,2.4440410137176514,31.008813858032227
42,86.66666412353516,16.838516235351562,2.5762596130371094,19.414775848388672
43,69.72222137451172,11.106117248535156,2.7954447269439697,13.901561737060547
44,80.0,36.39729309082031,2.3181748390197754,38.71546936035156
45,81.94445037841797,32.41529846191406,2.1576850414276123,34.57298278808594
46,84.72222137451172,20.59234619140625,2.5019147396087646,23.094261169433594
47,86.66666412353516,15.900890350341797,2.655015468597412,18.555906295776367
48,64.14286041259766,41.37030029296875,2.3252432346343994,43.6955451965332
49,65.33333587646484,25.761688232421875,2.03350830078125,27.795196533203125
50,65.55555725097656,21.74104118347168,2.0684659481048584,23.809507369995117
51,72.35713958740234,15.696732521057129,2.4780642986297607,18.17479705810547
52,70.49702453613281,38.34636688232422,2.15291690826416,40.49928283691406
53,73.33333587646484,29.577259063720703,2.241521120071411,31.81878089904785
54,84.5,22.130155563354492,1.8114906549453735,23.941646575927734
55,81.90972137451172,18.551036834716797,1.8099554777145386,20.360992431640625
56,65.9126968383789,30.7462215423584,1.8815120458602905,32.62773513793945
57,68.8888931274414,24.24585723876953,1.6508429050445557,25.896699905395508
58,71.96924591064453,19.327808380126953,1.651919960975647,20.97972869873047
