3,0,406,2618,0,0
7,32,1185,4097,177,557
11,101,2219,5384,335,1033
15,169,3240,6609,531,1547
19,226,4238,7779,752,2125
23,298,5323,8860,986,2677
27,370,6401,9906,1224,3267
