agg_iter,mAP,avgloss
0,80.30375593052584,2.486613645903109
1,81.0180574271332,2.5950132257611958
2,83.47069280529612,2.2381253454931693
3,82.58479764166051,2.4887213604002723
4,82.80067764035577,2.6455843586028696
5,83.5182918410795,2.431193882939699
6,83.41677281994991,2.4506186555257434
7,84.18408886283916,2.903520509127901
8,83.99237420244432,2.7411088172600357
9,84.01679900867262,2.90134355220923
10,84.02109015104514,2.9286725353344467
11,83.23391290777721,3.177808043917503
12,83.71234389308731,3.3292256892559164
13,83.5173493565925,3.2432822524823246
14,84.88536445177665,3.0512299529226823
15,83.48158581988156,3.361132919202482
16,84.14673079561268,3.1613704290966678
17,83.98650882106607,3.25307074289721
18,84.26040751347402,3.3842556110604205
19,84.45699022620815,3.1791725497015797
20,84.45671905916481,3.175121462044719
21,84.25280316378918,3.343908261341306
22,84.05144969747586,3.2598958190901466
23,84.08755201219061,3.439387521024369
24,83.91888864243538,3.3482102366681485
25,84.37571983436366,3.2605386771654468
26,84.39752235481112,3.2523490486778774
27,84.61701916763346,3.249967860299715
28,84.65743062939146,3.279388946138459
29,84.59532240207407,3.2230952798892676
