epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,entropy_loss,cosine_loss,overall_loss
0,0.48721227621483376,0.7864678899082569,0.6016845060536936,0.0843734460327579,0.2118754675926609,0.12068677729025003,0.7749036873968079,0.3229357798165138,0.4558847336894933,0.3714354863106943,0.05472221874619176,0.0953908550323112,14.373395919799805,18.140725135803223,0.49709808673614125,18.63782319044456
1,0.49316005471956226,0.8262663305065322,0.6176646963077186,0.32610462514923244,0.23265542288375038,0.27156562011020186,0.7788461538461539,0.3341737336694935,0.46768243785084196,0.7788461538461539,0.05660377358490566,0.10553745928338762,15.921359062194824,16.866388064164383,0.4470242510239284,17.313412372882556
2,0.4981478940869804,0.8327981651376147,0.6234011503133315,0.3415774144784304,0.23759623681447967,0.2802527638462973,0.7793803418803419,0.3346330275229358,0.46822849807445444,0.748254024785892,0.05665493961355201,0.10533436317601842,17.593496322631836,16.628354671673897,0.415082106223473,17.04343666174473
3,0.5001357588922074,0.8432135500114443,0.627865360034086,0.3585437944831058,0.2508920230010935,0.2952100134307809,0.7697649572649573,0.32982375829709315,0.4617849703573145,0.7431859415629656,0.0561660770103536,0.1044391903865793,17.976470947265625,16.513305712968872,0.39679968280669975,16.91010542404957
4,0.520237922530103,0.8224770642201835,0.6373411534701857,0.22381206425842848,0.3090739134210698,0.25962203348801605,0.8109559613319012,0.3463302752293578,0.48537447765991637,0.35810901758010305,0.08719074119415046,0.14023717756805373,25.540679931640625,16.550248476175156,0.25578879469480287,16.80603720591618
5,0.5593778043673348,0.8581918311151905,0.6772908366533865,0.40391962332060444,0.3316099054353203,0.364210389538999,0.8819444444444444,0.3788435061955025,0.530016051364366,0.8760083028559568,0.10020468570820766,0.17983808388898923,35.79580307006836,14.211087508079329,0.25658718859538043,14.467674683301876
6,0.55935702698717,0.8695552498853737,0.6807861437673877,0.39908923538651886,0.38962459639945113,0.3943001276210254,0.8931623931623932,0.3833104080696928,0.5364132178376645,0.939821693002762,0.10776884095091584,0.19336466161675656,39.17610168457031,13.67950104444455,0.25765473949603546,13.937155809157934
7,0.5790354480450327,0.8723355489342196,0.6960497439648866,0.4859884275366444,0.4237116086381457,0.45271832521178257,0.9123931623931624,0.3914737565895026,0.5478748997594226,0.8776343636267837,0.11201955771753143,0.1986799852571396,42.12497329711914,13.109350424546454,0.25776126331243765,13.36711167066525
8,0.5217706821480407,0.8249196879302433,0.6392247510668564,0.21322147820541196,0.3430540777907544,0.2629865604644441,0.8175965665236051,0.3497016980266177,0.4898746383799421,0.38057691077741296,0.09749657930391119,0.15522695875287174,27.434894561767578,16.424787912613308,0.1681760769241895,16.59296398896437
9,0.5651453532158458,0.8625287356321839,0.6828646828646828,0.4522912805502878,0.3545026495192886,0.3974706584510908,0.9022435897435898,0.3882758620689655,0.5429122468659594,0.8359460552010858,0.11226334654229002,0.1979438328984179,36.66107940673828,13.973848122816815,0.16804023736562484,14.141888410617145
