epoch,mAP,entropy_loss,relation_loss,overall_loss
0,71.6841049194336,13.76899230182396,3.1915440366492565,16.960536338473215
1,85.84850311279297,9.431189893096613,3.359001967444386,12.790191860540999
2,89.48782348632812,8.086265310681325,3.4880929284918962,11.574358239173222
3,91.6732406616211,7.17980169040408,3.57065290370208,10.750454594106158
4,93.30560302734375,6.408204867847973,3.618145738954965,10.026350606802938
5,94.7363052368164,5.681358119881561,3.6948211357232483,9.376179255604809
6,95.7008056640625,5.162154127916046,3.7495528589293463,8.91170698684539
7,95.94554901123047,4.837588692799656,3.8137443394986366,8.651333032298295
8,96.45832061767578,4.548396487517351,3.8275165924050856,8.375913079922436
9,97.25582122802734,4.112471414222115,3.8708719842388475,7.983343398460959
10,97.04414367675781,4.097333869390568,3.89205911996124,7.989392989351811
11,97.74686431884766,3.5804196382634608,3.9280863351774546,7.508505973440917
12,97.96497344970703,3.3765844101754583,3.940071126642922,7.316655536818378
13,98.6292724609375,2.973627431171431,3.9850740857225064,6.958701516893939
14,98.5648193359375,2.880165198166766,3.994415715868037,6.874580914034804
15,98.65593719482422,2.7518907338097636,4.035623609521085,6.787514343330849
16,98.86775970458984,2.5216654715923728,4.044746560719145,6.56641203231152
17,98.8622055053711,2.541015836882528,4.046978135907863,6.587993972790392
18,99.06266784667969,2.3607065856386464,4.062569619845123,6.423276205483767
19,99.25927734375,2.234045876129789,4.0794770578869,6.313522934016684
20,99.12288665771484,2.1920324663028885,4.080059383126767,6.2720918494296605
21,99.33209228515625,1.9090677201613353,4.0980147787297,6.007082498891039
22,99.40989685058594,1.8187851315480377,4.107210379901085,5.925995511449123
23,99.43356323242188,1.7477612723109774,4.103309129642462,5.851070401953434
24,99.49766540527344,1.642684741614237,4.125267608854726,5.767952350468962
25,99.50203704833984,1.6187839193980835,4.136824395184697,5.755608314582785
26,99.4592514038086,1.6655851116453901,4.120261161479408,5.785846273124792
27,99.46578216552734,1.6684012608155931,4.126380917500574,5.794782178316162
28,99.58351135253906,1.4757803984571178,4.138402272172163,5.614182670629279
29,99.62913513183594,1.3350846686278552,4.154634789691751,5.489719458319606
30,99.61001586914062,1.303747836237468,4.14578528860562,5.449533124843084
31,99.68312072753906,1.4056113275366524,4.130486648925831,5.536097976462482
32,99.70758819580078,1.2811971688200594,4.153421063474045,5.434618232294104
33,99.66159057617188,1.2819045319039823,4.131524843327676,5.413429375231661
34,99.78731536865234,1.1409347650265427,4.140295038601408,5.2812298036279515
35,99.7705307006836,1.1526553129240311,4.145692769707569,5.2983480826315965
36,99.79180908203125,1.1160439417261463,4.1317421415554785,5.24778608328162
37,99.85054016113281,1.0236353652587737,4.128903856338162,5.152539221596934
38,99.75039672851562,1.1051601467737973,4.116307269319839,5.22146741609364
39,99.77252197265625,1.1649127132136015,4.113135313691681,5.2780480269052825
40,99.85421752929688,1.0208006041732063,4.133889790963939,5.154690395137147
41,99.85881042480469,0.9917500746741688,4.116704692144699,5.108454766818866
42,99.89398956298828,0.882466722612232,4.115327748997768,4.997794471609997
43,99.8369369506836,0.974611843381069,4.120682918832031,5.095294762213099
44,99.85271453857422,0.9466317304188732,4.107730846973152,5.054362577392024
45,99.89736938476562,0.9201639787274314,4.109983009121479,5.0301469878489105
46,99.7626953125,0.9627991656054442,4.110646310853572,5.073445476459019
47,99.868896484375,0.9032812859135777,4.100562394136806,5.003843680050379
48,99.87560272216797,0.8482206032225729,4.102575315580906,4.95079591880348
49,99.85636138916016,0.865206225343312,4.117332717600012,4.982538942943325
50,99.8910903930664,0.7708849402882868,4.099219952970184,4.870104893258471
51,99.8881607055664,0.7834712439707002,4.095715303199629,4.879186547170332
52,99.91375732421875,0.7497197801848576,4.099885924754951,4.849605704939811
