3,0,0,0,80
7,0,0,0,160
11,0,0,0,240
15,0,0,0,320
19,0,0,0,400
23,6,0,0,474
27,41,0,0,519
31,83,0,0,557
35,130,0,0,590
39,176,0,0,624
43,222,0,0,658
47,266,0,0,694
51,321,0,0,719
55,374,0,0,746
59,430,0,0,770
63,485,0,0,795
67,548,0,0,812
71,603,0,0,837
75,665,0,0,855
79,724,0,0,876
83,784,0,0,896
87,845,0,0,915
91,905,0,0,935
95,966,0,0,954
99,1031,0,0,969
103,1096,0,0,984
107,1160,0,0,1000
111,1225,0,0,1015
115,1287,0,5,1028
119,1349,0,9,1042
123,1401,0,19,1060
127,1455,0,31,1074
131,1515,0,41,1084
135,1573,0,53,1094
139,1622,0,69,1109
143,1679,0,83,1118
147,1733,0,97,1130
151,1785,0,113,1142
155,1837,0,130,1153
159,1905,0,138,1157
163,1955,0,155,1170
167,2011,0,169,1180
