epoch,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
0,0.03448275849223137,-1.0,-1.0,-1.0,0.043478261679410934,0.0717703327536583,0.6847109794616699,-1.0,0.85834139585495,-1.0,-1.0,-1.0,-1.0,0.07692307978868484,-1.0,0.9519216418266296,-1.0,0.05000000074505806,-1.0,-1.0,34.645355224609375
1,0.0357142873108387,-1.0,-1.0,-1.0,0.0625,0.10096153616905212,0.5291394591331482,-1.0,0.8385753035545349,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9563302993774414,-1.0,0.06666667014360428,-1.0,-1.0,32.790260314941406
2,0.07692307978868484,-1.0,-1.0,-1.0,0.04545454680919647,0.06079854816198349,0.5889939069747925,-1.0,0.8597636222839355,-1.0,-1.0,-1.0,-1.0,0.0357142873108387,-1.0,0.9404910206794739,-1.0,0.0476190485060215,-1.0,-1.0,33.19697570800781
3,0.0357142873108387,-1.0,-1.0,-1.0,0.1666666716337204,0.05829228088259697,0.6626509428024292,-1.0,0.9556096792221069,-1.0,-1.0,-1.0,-1.0,0.09090909361839294,-1.0,0.9433537125587463,-1.0,0.05000000074505806,-1.0,-1.0,37.03995895385742
4,1.0,-1.0,-1.0,-1.0,1.0,0.28333333134651184,0.6358740329742432,-1.0,0.9058454632759094,-1.0,-1.0,-1.0,-1.0,0.0714285746216774,-1.0,0.9509173631668091,-1.0,0.5,-1.0,-1.0,66.84248352050781
5,1.0,-1.0,-1.0,-1.0,0.09090909361839294,0.28333333134651184,0.6250647306442261,-1.0,0.8747562170028687,-1.0,-1.0,-1.0,-1.0,0.06666667014360428,-1.0,0.9767463803291321,-1.0,0.25,-1.0,-1.0,52.09346008300781
6,1.0,-1.0,-1.0,-1.0,1.0,0.5333333611488342,0.6533475518226624,-1.0,0.8494454622268677,-1.0,-1.0,-1.0,-1.0,0.07692307978868484,-1.0,0.9372223615646362,-1.0,0.09090909361839294,-1.0,-1.0,64.26475524902344
7,1.0,-1.0,-1.0,-1.0,1.0,0.5344827771186829,0.42701590061187744,-1.0,0.9253833889961243,-1.0,-1.0,-1.0,-1.0,0.1111111119389534,-1.0,0.9626471996307373,-1.0,0.3333333432674408,-1.0,-1.0,66.17467498779297
8,1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.13703703880310059,0.6314407587051392,-1.0,0.9847154021263123,-1.0,-1.0,-1.0,-1.0,0.0714285746216774,-1.0,0.9729958176612854,-1.0,0.5,-1.0,-1.0,57.88688659667969
9,0.5,-1.0,-1.0,-1.0,1.0,0.25757575035095215,0.7701858282089233,-1.0,0.9895667433738708,-1.0,-1.0,-1.0,-1.0,0.0476190485060215,-1.0,0.972155749797821,-1.0,1.0,-1.0,-1.0,69.21379089355469
10,1.0,-1.0,-1.0,-1.0,0.5,0.5400000214576721,0.5497798323631287,-1.0,0.9832026362419128,-1.0,-1.0,-1.0,-1.0,0.09090909361839294,-1.0,0.9501423239707947,-1.0,1.0,-1.0,-1.0,70.17542266845703
11,1.0,-1.0,-1.0,-1.0,1.0,0.5384615659713745,0.7198801636695862,-1.0,0.9895904660224915,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,-1.0,0.9566202759742737,-1.0,1.0,-1.0,-1.0,81.72357940673828
12,1.0,-1.0,-1.0,-1.0,0.06666667014360428,0.3333333432674408,0.7079060077667236,-1.0,0.9889417886734009,-1.0,-1.0,-1.0,-1.0,0.0555555559694767,-1.0,0.9787555932998657,-1.0,1.0,-1.0,-1.0,64.13948822021484
13,1.0,-1.0,-1.0,-1.0,0.1111111119389534,0.2222222238779068,0.7449382543563843,-1.0,0.9926324486732483,-1.0,-1.0,-1.0,-1.0,0.043478261679410934,-1.0,0.9675717353820801,-1.0,1.0,-1.0,-1.0,63.5244255065918
