agg_iter,mAP,avgloss
0,86.59906979136257,2.739361223104847
1,90.5722106327627,2.717507752239234
2,91.00062867596439,2.8046711371775115
3,91.23932108577438,2.8767889451520916
4,91.31237709077384,2.987980349347402
5,91.01382011911441,3.251252844299378
6,90.7984736207906,3.4730112971027403
7,90.8091480237618,3.799025998848557
8,90.53856700272219,3.8609513282845382
9,90.45698233950617,4.1288648866302875
10,90.31509181387861,4.263370505592946
11,90.38826357526138,4.4865640931516575
12,90.15823715276952,4.675817987690403
13,89.99171936561952,4.819933110728848
14,90.33479996884661,4.94980851832826
