epoch,mAP,entropy_loss,relation_loss,overall_loss
0,29.76856231689453,25.133675652930293,7.079342891649651,32.21301854457994
1,68.38188934326172,8.10106142108624,4.4975973187992135,12.598658739885455
2,72.54179382324219,5.502709119676899,3.435046966724849,8.93775608640175
3,89.24352264404297,4.0148637118470845,2.985167737838064,7.000031449685149
4,55.4931755065918,25.302106815966205,2.2354461578745255,27.537552973840725
5,60.96662139892578,10.401804808365643,3.7937464843725675,14.19555129273821
6,64.01924133300781,7.084894509510932,4.0299772916941325,11.114871801205066
7,76.84334564208984,6.178748572431968,2.90713350806682,9.085882080498788
8,50.10293197631836,25.901537714209812,2.6721469474355595,28.573684661645373
9,60.964317321777344,10.990924495804888,3.1121242658936543,14.103048761698542
10,68.02674102783203,6.621346890865171,3.237026896645368,9.858373787510539
11,78.88255310058594,5.6417397335009944,2.8293626477752505,8.471102381276246
