epoch,mAP,train_loss
0,tensor(5.1969),0.48682213923893863
1,tensor(21.4551),0.41395456460304564
2,tensor(32.0468),0.4015907798893752
3,tensor(38.4457),0.3931776327081024
4,tensor(42.1718),0.38781999191269284
5,tensor(35.3036),0.39944261987693613
6,tensor(41.0468),0.39042592351324845
7,tensor(43.0359),0.3855826559010891
8,tensor(44.3235),0.38203754881396895
9,tensor(46.0664),0.37886704900302004
10,tensor(45.8752),0.3774639635812491
11,tensor(47.1734),0.3753438175190242
12,tensor(48.1664),0.3733866577968002
13,tensor(49.0371),0.3713790278416128
14,tensor(50.2136),0.3696594680659473
15,tensor(49.8551),0.3692099815234539
16,tensor(50.9431),0.36741424771025794
17,tensor(51.8180),0.3657891764305532
18,tensor(52.4650),0.3644671877846122
19,tensor(53.0702),0.36332467710599314
20,tensor(53.2977),0.3626430155709387
21,tensor(53.6742),0.3616153185721489
22,tensor(54.3503),0.36004207981750364
23,tensor(55.0358),0.3590013787616045
24,tensor(55.3791),0.35772322560660536
25,tensor(54.6266),0.3578892685472966
26,tensor(55.0116),0.3567697382532059
27,tensor(56.4391),0.3551131177227944
28,tensor(56.5868),0.3540623106528074
29,tensor(57.3453),0.3530615777708591
30,tensor(56.1962),0.35355300782248383
31,tensor(57.0196),0.3518606363795698
32,tensor(57.5020),0.3510268153622744
33,tensor(57.8580),0.34967357083223755
34,tensor(59.0572),0.34823085623793304
35,tensor(57.5123),0.3492078452836723
36,tensor(58.3810),0.34770242450758804
37,tensor(58.8342),0.34664218523539597
38,tensor(59.1502),0.3457518473733215
39,tensor(59.5917),0.34429819206707174
40,tensor(58.5622),0.3449954385869205
41,tensor(59.8539),0.3435202746186406
42,tensor(59.8251),0.3426056792959572
43,tensor(60.6669),0.34131498844362795
44,tensor(60.6222),0.34042737307026977
45,tensor(59.9977),0.3406538278795779
46,tensor(60.1576),0.3398971790447831
47,tensor(60.8880),0.3385020059067756
48,tensor(61.4677),0.33747349143959576
49,tensor(61.7398),0.3364942620974034
50,tensor(60.6401),0.3368895235471427
51,tensor(61.6593),0.3356116281356662
52,tensor(61.3869),0.3352420402225107
53,tensor(62.2085),0.33393249264918257
