agg_iter,mAP,avgloss
0,67.10486835394177,29.59209993292809
1,64.53386017705766,30.5029451384297
2,65.72044267848567,29.38593195530203
3,66.35927907217534,28.903655419107473
4,68.31687626698272,28.459522887270477
5,69.81181483987297,28.103662766091844
6,72.07821642799604,27.733865728679064
7,73.45243508043616,26.44708167709352
8,74.07101144394568,25.940302201311518
9,74.14765044092076,26.42269403008218
