3,0,3986,0,37475,0,62531,60199,3370,13568,38233,54651,31843,0,0,0
7,911,13919,2107,83480,3386,132316,110866,8104,27121,64629,99859,62705,177,17,2115
11,6468,19098,5280,131964,7347,201434,158130,11552,34816,96059,140865,90168,691,217,13479
15,13153,24304,8570,181002,11266,266819,201704,14723,42345,132370,181395,117019,1304,390,27060
19,19426,29176,11615,231142,14893,332663,243698,17767,49827,171526,219703,143842,2093,570,41339
23,25710,34023,14820,282260,18491,397225,284350,20718,57604,211917,257306,170444,3308,747,56213
