epoch,mAP,entropy_loss,cosine_loss,overall_loss
0,89.58332824707031,3.650362491607666,0.47220705449581146,4.122569561004639
1,79.70000457763672,1.7107929587364197,0.46483173966407776,2.17562472820282
2,74.58332824707031,1.6367992758750916,0.45281465351581573,2.089613914489746
3,85.66667175292969,1.6010284423828125,0.4477444291114807,2.048772931098938
4,94.20000457763672,5.307465553283691,0.4968641847372055,5.804329872131348
5,94.20000457763672,3.229405164718628,0.4965946525335312,3.7259998321533203
6,94.20000457763672,2.491177201271057,0.4969324767589569,2.9881097078323364
7,97.53333282470703,1.893386960029602,0.49793243408203125,2.3913193941116333
8,96.20000457763672,4.811664581298828,0.43632470071315765,5.247989177703857
9,95.86666870117188,2.7055716514587402,0.43661925196647644,3.1421908140182495
10,82.86666870117188,1.8441538214683533,0.437614306807518,2.2817682027816772
11,96.20000457763672,1.4039249122142792,0.43898408114910126,1.8429089784622192
12,96.20000457763672,6.0484113693237305,0.39467594027519226,6.443087339401245
13,97.53333282470703,3.1660922169685364,0.39460816979408264,3.560700297355652
14,96.0,1.7475359439849854,0.39494316279888153,2.142479181289673
15,89.20000457763672,1.986521065235138,0.3956419825553894,2.3821630477905273
16,94.20000457763672,5.1960402727127075,0.3628050982952118,5.558845520019531
17,98.33334350585938,3.361523389816284,0.363047793507576,3.7245712280273438
18,91.66666412353516,1.6475921273231506,0.3634738475084305,2.0110660195350647
19,87.86666870117188,1.6513363122940063,0.3641590029001236,2.0154953002929688
20,94.20000457763672,8.147688627243042,0.3358074724674225,8.483495950698853
21,89.20000457763672,4.6775665283203125,0.3356514424085617,5.013217926025391
22,91.0,2.429094910621643,0.3356627821922302,2.764757752418518
23,98.53333282470703,1.673491358757019,0.33592356741428375,2.0094149112701416
24,97.53333282470703,8.25822114944458,0.3159729242324829,8.574193954467773
25,98.53333282470703,3.2455732226371765,0.316062867641449,3.561636209487915
26,96.0,2.0448503494262695,0.3163726031780243,2.361222982406616
27,89.20000457763672,2.3335230350494385,0.3168771415948868,2.6504002809524536
28,96.20000457763672,6.441454887390137,0.29750314354896545,6.73895788192749
29,94.20000457763672,3.4536551237106323,0.2975788414478302,3.75123393535614
30,90.20000457763672,2.570584774017334,0.297799676656723,2.8683844804763794
31,95.20000457763672,2.3514574766159058,0.298151358962059,2.649608790874481
32,89.20000457763672,6.927543878555298,0.2806192636489868,7.208163261413574
33,95.20000457763672,4.127439260482788,0.28053754568099976,4.407976746559143
34,97.53333282470703,2.2567834854125977,0.28062739968299866,2.537410855293274
35,89.20000457763672,2.449077844619751,0.2808850258588791,2.7299628257751465
36,94.53333282470703,6.9232399463653564,0.2674696743488312,7.190709590911865
37,96.20000457763672,4.262233257293701,0.26757700741291046,4.529810190200806
38,90.86666107177734,2.756797432899475,0.26789987087249756,3.0246973037719727
39,94.53333282470703,3.09926438331604,0.26839813590049744,3.3676624298095703
40,98.53333282470703,6.616398572921753,0.2568624019622803,6.873260974884033
41,95.20000457763672,5.862962961196899,0.2566758245229721,6.119638919830322
42,92.86666870117188,2.98076468706131,0.2565995454788208,3.2373642325401306
43,95.20000457763672,2.5507997274398804,0.2566469609737396,2.8074467182159424
44,95.20000457763672,6.3628973960876465,0.2456708401441574,6.608568429946899
45,97.53334045410156,4.964801549911499,0.24556881934404373,5.210370421409607
46,97.53333282470703,3.1211856603622437,0.24556544423103333,3.366750955581665
47,94.20000457763672,2.597710132598877,0.2456744983792305,2.843384623527527
48,89.20000457763672,6.642688512802124,0.2365608960390091,6.879249334335327
49,87.86666870117188,4.599013805389404,0.23653976619243622,4.8355536460876465
50,98.53333282470703,3.181323289871216,0.23660828173160553,3.41793155670166
51,87.86666870117188,3.051398515701294,0.2367691695690155,3.2881675958633423
52,85.86666107177734,7.054834842681885,0.22814321517944336,7.282978057861328
53,93.75,5.961815714836121,0.22805135697126389,6.18986713886261
54,89.20000457763672,3.1780892610549927,0.22804883867502213,3.406138062477112
55,92.86666870117188,2.855507254600525,0.2281469851732254,3.0836541652679443
56,98.33334350585938,7.302589416503906,0.22060050070285797,7.5231897830963135
57,94.20000457763672,5.887687683105469,0.2206292301416397,6.108317136764526
58,97.53333282470703,4.123403072357178,0.22070938348770142,4.344112396240234
59,89.20000457763672,3.3830721378326416,0.220845066010952,3.603917121887207
60,87.86666870117188,9.806094646453857,0.2132413163781166,10.019336223602295
61,95.20000457763672,6.222891330718994,0.21318823099136353,6.436079502105713
62,92.86666870117188,3.7916259765625,0.2131795659661293,4.004805684089661
63,98.53333282470703,2.9030141830444336,0.21322256326675415,3.1162367463111877
64,92.86666870117188,10.523241758346558,0.20650166273117065,10.729743480682373
65,89.20000457763672,7.460197687149048,0.20639924705028534,7.666597127914429
66,92.86666870117188,4.426026821136475,0.20636195689439774,4.632388710975647
67,94.20000457763672,3.5617458820343018,0.20638154447078705,3.7681273221969604
68,95.86666870117188,9.920848846435547,0.20272023230791092,10.123569011688232
69,96.20000457763672,5.165894985198975,0.20265547931194305,5.3685503005981445
70,85.86666107177734,5.6892924308776855,0.2026466503739357,5.891939163208008
71,94.20000457763672,2.9685654640197754,0.2026551440358162,3.1712206602096558
