agg_iter,mAP,avgloss
0,84.24977762012561,4.008870027467259
1,88.56837008066506,3.489423823016157
2,89.75314301745998,3.491297665195412
3,90.27720274399007,3.6408532417910524
4,90.49272478614066,3.829609142821368
5,90.20385627312662,3.8489946305554574
6,90.25414400209188,4.373007608356642
7,89.97333199648152,4.391425415467988
8,90.39643578195353,4.393205366874234
9,90.39648016520637,4.737599408912658
10,90.40650207376413,5.02619562078815
11,90.3909868108277,5.02669718250945
12,90.68632509760266,4.974043438385831
13,90.30641500442191,5.212452428806298
14,90.21717970130021,5.221677188801178
15,90.067100092504,5.557049034925578
16,90.0534185167083,5.682878214443068
17,89.9766083753316,5.761073214383931
18,90.04983147792629,5.702242149621886
19,89.96043880617184,6.2686884389561905
20,90.01783549183739,5.947701027442833
21,89.97772733543333,5.986568850351245
22,89.96932686124583,5.799541507680067
23,89.77011656204495,5.989983928436104
24,89.74287755977986,6.203179943029122
25,89.83503532295478,6.139665916903336
