epoch,mAP,asym_loss,dynamic_adj_loss,overall_loss
0,52.70792770385742,12.723002195358276,0.0,12.723002195358276
1,65.99717712402344,9.730913877487183,0.0,9.730913877487183
2,73.9508285522461,7.662057161331177,0.0,7.662057161331177
3,72.4058609008789,6.256155490875244,0.0,6.256155490875244
4,91.60427856445312,20.22983455657959,0.0,20.22983455657959
5,67.29932403564453,17.27978825569153,0.0,17.27978825569153
6,95.99022674560547,13.754574060440063,0.0,13.754574060440063
7,81.60364532470703,11.377373695373535,0.0,11.377373695373535
8,76.32750701904297,24.14961075782776,0.0,24.14961075782776
9,81.50517272949219,20.162027955055237,0.0,20.162027955055237
10,75.08390808105469,15.937723636627197,0.0,15.937723636627197
11,80.84894561767578,12.44647490978241,0.0,12.44647490978241
12,89.80757904052734,23.507526397705078,0.0,23.507526397705078
13,72.43661499023438,19.151458740234375,0.0,19.151458740234375
14,95.71712493896484,14.505655765533447,0.0,14.505655765533447
15,88.5907974243164,11.042851209640503,0.0,11.042851209640503
16,88.11869812011719,28.128325939178467,0.0,28.128325939178467
17,90.7467269897461,23.538039445877075,0.0,23.538039445877075
18,97.96315002441406,17.792613983154297,0.0,17.792613983154297
19,81.92526245117188,15.357575178146362,0.0,15.357575178146362
20,71.51627349853516,28.05288529396057,0.0,28.05288529396057
21,72.44391632080078,24.051363706588745,0.0,24.051363706588745
22,85.33370208740234,19.108779191970825,0.0,19.108779191970825
23,81.37813568115234,16.139930248260498,0.0,16.139930248260498
24,89.33183288574219,30.41763210296631,0.0,30.41763210296631
25,83.1771240234375,25.55887484550476,0.0,25.55887484550476
26,75.43758392333984,22.2231125831604,0.0,22.2231125831604
27,95.61143493652344,17.733574867248535,0.0,17.733574867248535
28,82.44422912597656,33.594929695129395,0.0,33.594929695129395
29,89.89129638671875,29.03573703765869,0.0,29.03573703765869
30,75.2431411743164,25.11423110961914,0.0,25.11423110961914
31,85.13459014892578,21.199906826019287,0.0,21.199906826019287
32,65.83037567138672,34.092684745788574,0.0,34.092684745788574
33,80.70069885253906,30.074575185775757,0.0,30.074575185775757
34,76.21458435058594,24.901715517044067,0.0,24.901715517044067
35,84.38253021240234,21.957571268081665,0.0,21.957571268081665
36,81.3762435913086,38.055283546447754,0.0,38.055283546447754
37,72.64905548095703,33.646443367004395,0.0,33.646443367004395
38,78.97288513183594,31.129511833190918,0.0,31.129511833190918
39,85.55158233642578,26.90466547012329,0.0,26.90466547012329
40,65.4244613647461,38.71340370178223,0.0,38.71340370178223
41,93.16181945800781,33.28692293167114,0.0,33.28692293167114
42,82.9360580444336,31.18985629081726,0.0,31.18985629081726
43,81.64836883544922,27.32092523574829,0.0,27.32092523574829
44,88.77608489990234,37.5759916305542,0.0,37.5759916305542
45,79.48719024658203,33.825387477874756,0.0,33.825387477874756
46,93.86724090576172,30.139724493026733,0.0,30.139724493026733
47,87.83350372314453,27.25092339515686,0.0,27.25092339515686
48,82.04286193847656,40.30957508087158,0.0,40.30957508087158
49,73.45210266113281,36.853394508361816,0.0,36.853394508361816
50,82.4094009399414,32.864359617233276,0.0,32.864359617233276
51,95.10002136230469,29.415789127349854,0.0,29.415789127349854
52,91.32455444335938,39.97595262527466,0.0,39.97595262527466
53,65.50922393798828,39.1788387298584,0.0,39.1788387298584
54,86.48165130615234,33.31514644622803,0.0,33.31514644622803
55,77.3322982788086,31.572944164276123,0.0,31.572944164276123
56,74.97303771972656,42.30142021179199,0.0,42.30142021179199
57,85.43876647949219,39.3490629196167,0.0,39.3490629196167
58,66.56521606445312,38.74967670440674,0.0,38.74967670440674
59,83.65196990966797,35.670989990234375,0.0,35.670989990234375
60,71.6793212890625,44.61674880981445,0.0,44.61674880981445
61,94.1147232055664,41.11524534225464,0.0,41.11524534225464
62,70.45976257324219,39.408265352249146,0.0,39.408265352249146
63,72.494384765625,37.31345510482788,0.0,37.31345510482788
64,79.81108856201172,42.55971384048462,0.0,42.55971384048462
65,90.78450012207031,40.493062019348145,0.0,40.493062019348145
66,71.80980682373047,38.693233489990234,0.0,38.693233489990234
67,71.23219299316406,36.20719623565674,0.0,36.20719623565674
68,79.62966918945312,44.249107837677,0.0,44.249107837677
69,74.31851196289062,41.92563056945801,0.0,41.92563056945801
70,80.0496826171875,39.832234382629395,0.0,39.832234382629395
71,71.31298065185547,37.67825126647949,0.0,37.67825126647949
72,81.37291717529297,44.60767078399658,0.0,44.60767078399658
73,73.41118621826172,42.179086685180664,0.0,42.179086685180664
74,77.73465728759766,40.98301553726196,0.0,40.98301553726196
75,80.6055908203125,39.995888233184814,0.0,39.995888233184814
76,75.18484497070312,43.84697437286377,0.0,43.84697437286377
77,72.36724090576172,43.35454082489014,0.0,43.35454082489014
78,68.3700180053711,43.86142539978027,0.0,43.86142539978027
79,69.86912536621094,40.52051639556885,0.0,40.52051639556885
80,67.19526672363281,46.28397607803345,0.0,46.28397607803345
81,80.29093933105469,44.127174854278564,0.0,44.127174854278564
82,74.66716766357422,42.89712858200073,0.0,42.89712858200073
83,63.141422271728516,42.486979484558105,0.0,42.486979484558105
84,78.52074432373047,46.468445777893066,0.0,46.468445777893066
85,74.04136657714844,45.005364418029785,0.0,45.005364418029785
86,80.63538360595703,43.34023380279541,0.0,43.34023380279541
87,69.87466430664062,43.120171546936035,0.0,43.120171546936035
88,93.83447265625,44.51962900161743,0.0,44.51962900161743
89,80.24332427978516,44.121662616729736,0.0,44.121662616729736
90,79.2186279296875,42.65244674682617,0.0,42.65244674682617
91,80.54667663574219,41.10487461090088,0.0,41.10487461090088
92,68.3303451538086,46.86577892303467,0.0,46.86577892303467
93,72.25448608398438,45.73040580749512,0.0,45.73040580749512
94,68.24386596679688,44.81461429595947,0.0,44.81461429595947
95,80.78947448730469,43.37825012207031,0.0,43.37825012207031
96,83.49763488769531,45.91303730010986,0.0,45.91303730010986
97,83.47688293457031,45.39918613433838,0.0,45.39918613433838
98,83.19298553466797,43.95858907699585,0.0,43.95858907699585
99,83.537109375,44.440765380859375,0.0,44.440765380859375
100,69.49491119384766,48.16892719268799,0.0,48.16892719268799
101,89.03121185302734,47.28740215301514,0.0,47.28740215301514
102,89.00338745117188,46.09881591796875,0.0,46.09881591796875
103,82.73155975341797,44.97788619995117,0.0,44.97788619995117
104,84.51229858398438,47.161673069000244,0.0,47.161673069000244
105,84.17716217041016,45.07474327087402,0.0,45.07474327087402
106,71.74052429199219,46.38514232635498,0.0,46.38514232635498
107,92.87443542480469,45.40878868103027,0.0,45.40878868103027
108,67.0467758178711,49.36590051651001,0.0,49.36590051651001
109,80.20118713378906,48.91638660430908,0.0,48.91638660430908
110,82.00216674804688,46.221548080444336,0.0,46.221548080444336
111,71.65850067138672,46.81875824928284,0.0,46.81875824928284
