epoch,objective_loss,entropy_loss,overall_loss
0,10.91023833418829,nan,10.91023833418829
1,9.805883429183988,nan,9.805883429183988
2,9.42096001382643,nan,9.42096001382643
3,9.131860409265654,nan,9.131860409265654
4,8.896128688476862,nan,8.896128688476862
5,8.669781644336904,nan,8.669781644336904
6,8.495979646305013,nan,8.495979646305013
7,8.308855197529363,nan,8.308855197529363
8,8.091828521354861,nan,8.091828521354861
9,7.954849607401485,nan,7.954849607401485
10,7.773209836186762,nan,7.773209836186762
11,7.637105386332409,nan,7.637105386332409
12,7.4198838655061214,nan,7.4198838655061214
13,7.264765690089576,nan,7.264765690089576
14,7.1067894398912035,nan,7.1067894398912035
