epoch,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5306946039199829,0.8039318323135376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0625,-1.0,0.8811304569244385,56.9564208984375
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.605133593082428,0.8081640601158142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,-1.0,0.9367295503616333,61.25067901611328
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6696646809577942,0.8177751898765564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0357142873108387,-1.0,0.9192959070205688,61.06125259399414
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7455873489379883,0.8631789684295654,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.9288415908813477,69.69020080566406
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9103713035583496,0.8566980957984924,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05000000074505806,-1.0,0.9658048748970032,69.57185363769531
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9489548802375793,0.8745814561843872,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03846153989434242,-1.0,0.977489173412323,70.98717498779297
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8745913505554199,0.7746115326881409,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1428571492433548,-1.0,0.9888030886650085,69.52157592773438
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.929618775844574,0.8307225704193115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03703703731298447,-1.0,0.988837718963623,69.65540313720703
8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9609969854354858,0.7842321991920471,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03703703731298447,-1.0,0.9897956252098083,69.30154418945312
9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.965258002281189,0.8291401267051697,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05263157933950424,-1.0,0.9919463396072388,70.97439575195312
10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9763582348823547,0.8093404769897461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03999999910593033,-1.0,0.9535737037658691,69.4818115234375
11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.930727481842041,0.8766555190086365,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0625,-1.0,0.9956019520759583,71.63712310791016
12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9545656442642212,0.9180690050125122,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05263157933950424,-1.0,0.9884092807769775,72.84188842773438
13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9299948215484619,0.7653050422668457,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.032258063554763794,-1.0,0.9962069988250732,68.09412384033203
14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8040728569030762,0.829039454460144,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0833333358168602,-1.0,0.9950827360153198,67.7882080078125
15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8800351023674011,0.8089596033096313,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.021739130839705467,-1.0,0.9900535345077515,67.51968383789062
16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9373571276664734,0.9064805507659912,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.032258063554763794,-1.0,0.9918290376663208,71.6981201171875
