3,0,40,0,0
7,0,80,0,0
11,0,120,0,0
15,0,160,0,0
19,8,192,0,0
23,25,215,0,0
27,44,236,0,0
31,65,255,0,0
35,87,273,0,0
39,108,292,0,0
43,131,309,0,0
47,153,327,0,0
51,177,343,0,0
55,201,359,0,0
59,230,370,0,0
63,260,380,0,0
67,286,394,0,0
71,314,406,0,0
75,342,418,0,0
79,368,432,0,0
83,397,443,0,0
87,423,457,0,0
91,453,467,0,0
95,480,480,0,0
99,510,490,0,0
103,542,498,0,0
107,568,512,0,0
111,600,520,0,0
115,632,528,0,0
119,662,538,0,0
123,691,549,0,0
127,722,558,0,0
131,754,566,0,0
135,785,575,0,0
139,813,587,0,0
143,848,592,0,0
147,882,598,0,0
151,907,611,2,0
155,939,616,5,0
159,965,623,12,0
163,992,630,18,0
167,1013,639,28,0
