epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,asym_loss,dynamic_adj_loss,overall_loss
0,0.4167366829104352,0.6910002786291446,0.519916142557652,0.09674783464487016,0.20581336696290442,0.13162294100381047,0.7466666666666667,0.37447757035385904,0.4987938393022824,0.24124025377299055,0.050694357628197524,0.08378259529000363,13.069103240966797,147.30111679077143,2.851528973579407,150.1526452128092
1,0.48039041703637975,0.75424909445528,0.586947094535993,0.18843494761407717,0.2609612613724537,0.2188457340435448,0.7727777777777778,0.38757314015045974,0.5162367786231211,0.7727777777777778,0.05,0.09392302498311951,17.4096622467041,81.97620714823407,1.577163887023926,83.55337089538574
2,0.49657410746483954,0.7673446642518807,0.6029556650246306,0.21973804526207213,0.3055136569291567,0.25562210838886174,0.7722222222222223,0.3872945110058512,0.5158656522545928,0.7722222222222221,0.05,0.09391891891891892,20.66432762145996,70.73161989847816,1.3726449712117512,72.10426478068034
3,0.5036877136175572,0.779510022271715,0.6119549775980768,0.2290623338857554,0.32424536678343624,0.26846689600462376,0.7722222222222223,0.38697104677060135,0.5155786350148367,0.7722222222222221,0.05,0.09391891891891892,24.307437896728516,64.78354146321611,1.3004118029276521,66.08395317077637
4,0.5333333333333333,0.8151447661469933,0.6447918960581369,0.25894519673101146,0.4945841379599098,0.3399209055519987,0.8934380257992148,0.4434855233853007,0.5927441860465117,0.7230460344662467,0.21340712324018654,0.3295480887983479,43.05575942993164,22.173508199055995,0.2285107207298279,22.40201905568442
5,0.6033353186420488,0.8465181058495822,0.7045322823693057,0.4009780394766026,0.5178482859580728,0.45198049882072044,0.9272222222222222,0.4649025069637883,0.6192949907235621,0.8900509899284252,0.19881222247096575,0.32502340680648817,47.986412048339844,19.824967327117925,0.19324250062306725,20.018209667205806
6,0.6103741833300337,0.8580573337044253,0.7133271633503007,0.4407370161368372,0.5416258351986943,0.48600077688923227,0.9366666666666666,0.46924575563595883,0.6252549601335063,0.9241304423228475,0.190109340847426,0.3153465383315778,54.4957275390625,19.723080514272052,0.1715313869714737,19.894611892700198
7,0.6205501618122977,0.8548342156589579,0.7190905894761513,0.4573939689383128,0.5250780870888118,0.488904592823265,0.9394444444444444,0.4711618835330176,0.6275746891816663,0.9455922677610776,0.19793249947857758,0.3273447963831317,51.24515914916992,19.471783262888597,0.15706133325894672,19.62884451548258
8,0.5247985675917637,0.8168896321070234,0.6390493840619209,0.2782294957633439,0.5580636969635325,0.3713285779684697,0.8778583379810374,0.43868450390189523,0.5850213714922877,0.6349353467374418,0.28682199956762694,0.39514396381523287,48.44682693481445,21.95088785807291,0.07207824731866519,22.02296606699625
9,0.5988326848249027,0.8578595317725752,0.7053162236480293,0.442578619736992,0.556305806669296,0.4929680542786387,0.9283333333333333,0.4657190635451505,0.6202672605790646,0.8769680217593285,0.2477400608384906,0.3863404458910716,53.699737548828125,19.74729015986125,0.06898247693975762,19.816272602081295
10,0.6157989228007181,0.8596491228070176,0.7175732217573222,0.4653059799450191,0.5096457644246111,0.48646760869944233,0.94,0.47117794486215536,0.6277128547579298,0.9200567117122729,0.20948064029813143,0.34126196665748676,49.73460006713867,19.407242698669435,0.0637866409619649,19.47102926890055
11,0.6273241713823767,0.8651059085841695,0.7272727272727273,0.46273262535229603,0.5244363898668698,0.4916560867938097,0.945,0.47408026755852845,0.6314031180400891,0.9245417195871055,0.22228950888279903,0.358406572278075,52.761043548583984,18.902081712087,0.05581763247648872,18.957899386088066
12,0.5328732292045042,0.8172701949860725,0.6451187335092349,0.29272611800979986,0.5469942297890803,0.38136386209916595,0.8737430167597765,0.43565459610027857,0.5814126394052045,0.6347792172876723,0.26826364267631314,0.37714308517228334,47.3888053894043,22.058227882385253,0.04918680429458618,22.107414601643878
13,0.5987521934100214,0.8549554565701559,0.704277032450407,0.3962395832016285,0.5273807248603356,0.45250005177065195,0.9333333333333333,0.46770601336302897,0.6231454005934719,0.9302769860671929,0.2274324038563744,0.3655064613538168,50.163631439208984,19.578039118448896,0.0438353857646386,19.621874548594153
