3,0,0,1,159
7,0,0,1,319
11,0,22,1,457
15,0,103,1,536
19,0,197,1,602
23,0,293,1,666
27,0,393,1,726
31,4,491,1,784
35,24,572,1,843
39,47,654,1,898
43,76,733,1,950
47,101,822,1,996
51,131,908,1,1040
55,163,998,1,1078
59,195,1095,1,1109
63,231,1188,1,1140
67,275,1272,1,1172
71,315,1369,1,1195
75,349,1473,1,1217
79,392,1570,1,1237
83,436,1669,1,1254
87,483,1774,1,1262
91,527,1878,1,1274
95,571,1993,1,1275
99,615,2107,1,1277
103,661,2219,1,1279
107,715,2325,1,1279
111,764,2434,1,1281
115,823,2535,1,1281
119,871,2646,1,1282
123,934,2743,1,1282
127,993,2844,1,1282
131,1048,2949,1,1282
135,1101,3056,1,1282
139,1154,3163,1,1282
143,1213,3264,1,1282
147,1268,3366,4,1282
151,1333,3454,11,1282
155,1398,3542,18,1282
159,1456,3629,33,1282
163,1514,3720,44,1282
167,1578,3805,55,1282
