epoch,obj_loss,reg_loss,overall_loss
0,0.8026924133300781,0.48674795031547546,1.289440393447876
1,0.6446419358253479,0.4867561459541321,1.13139808177948
2,0.4269488751888275,0.48677170276641846,0.9137206077575684
3,0.2616960406303406,0.4867953360080719,0.7484914064407349
4,0.1714755743741989,0.4868256747722626,0.6583012342453003
5,0.1337401121854782,0.4868600368499756,0.620600163936615
6,0.1244940534234047,0.4868957996368408,0.6113898754119873
7,0.12199250608682632,0.4869309961795807,0.6089234948158264
8,0.12672202289104462,0.4869641363620758,0.6136861443519592
9,0.13094499707221985,0.48699453473091125,0.6179395318031311
10,0.15231412649154663,0.3014013469219208,0.4537154734134674
11,0.15921616554260254,0.3014616370201111,0.4606778025627136
12,0.15978580713272095,0.30151528120040894,0.4613010883331299
13,0.16220174729824066,0.30156198143959045,0.4637637138366699
14,0.16340526938438416,0.3016015589237213,0.46500682830810547
15,0.16150125861167908,0.30163443088531494,0.463135689496994
16,0.16218717396259308,0.3016609847545624,0.46384817361831665
17,0.1591407209634781,0.3016815781593323,0.46082228422164917
18,0.15417805314064026,0.30169689655303955,0.4558749496936798
19,0.14903004467487335,0.3017076253890991,0.4507376551628113
20,0.16846203804016113,0.3016775846481323,0.47013962268829346
21,0.15771649777889252,0.30167484283447266,0.45939135551452637
22,0.15130546689033508,0.3016696274280548,0.4529750943183899
23,0.1450778692960739,0.30166202783584595,0.44673991203308105
24,0.13684497773647308,0.30165261030197144,0.4384976029396057
25,0.12957844138145447,0.3016418516635895,0.43122029304504395
26,0.12718524038791656,0.3016302287578583,0.42881548404693604
27,0.11985763907432556,0.30161795020103455,0.4214755892753601
28,0.11577502638101578,0.301605224609375,0.4173802435398102
29,0.11605320870876312,0.3015922009944916,0.4176453948020935
30,0.13750165700912476,0.30154791474342346,0.4390495717525482
31,0.1310701221227646,0.3015296757221222,0.4325997829437256
32,0.12422309815883636,0.3015115261077881,0.42573463916778564
33,0.11509819328784943,0.30149319767951965,0.4165914058685303
34,0.10945252329111099,0.3014752268791199,0.41092774271965027
35,0.10527794808149338,0.301457941532135,0.406735897064209
36,0.10210629552602768,0.3014412224292755,0.4035475254058838
37,0.10051991045475006,0.301425039768219,0.40194493532180786
38,0.09987778961658478,0.3014092743396759,0.4012870788574219
39,0.09874238073825836,0.3013940155506134,0.40013641119003296
40,0.11549380421638489,0.3013499677181244,0.4168437719345093
41,0.11401243507862091,0.3013326823711395,0.41534513235092163
42,0.10693030059337616,0.3013158440589905,0.40824615955352783
43,0.10308009386062622,0.3012996017932892,0.4043796956539154
44,0.10060737282037735,0.3012835383415222,0.40189090371131897
45,0.09838167577981949,0.3012678921222687,0.39964956045150757
46,0.0950746089220047,0.3012526035308838,0.3963271975517273
47,0.09418000280857086,0.3012375235557556,0.3954175114631653
48,0.09284932166337967,0.3012227714061737,0.3940720856189728
49,0.08986244350671768,0.3012081980705261,0.3910706341266632
50,0.10867493599653244,0.3011656403541565,0.40984058380126953
51,0.10371530055999756,0.3011495769023895,0.4048648774623871
52,0.10057173669338226,0.3011336922645569,0.40170544385910034
53,0.09721199423074722,0.3011179566383362,0.3983299434185028
54,0.09420131891965866,0.30110257863998413,0.3953039050102234
55,0.09229187667369843,0.3010876774787903,0.3933795690536499
56,0.08938708901405334,0.30107298493385315,0.3904600739479065
57,0.09001867473125458,0.30105865001678467,0.39107733964920044
58,0.08578260987997055,0.3010447025299072,0.3868273198604584
59,0.08530654013156891,0.3010309934616089,0.3863375186920166
60,0.10672619193792343,0.30099233984947205,0.4077185392379761
61,0.10015027970075607,0.3009767234325409,0.40112701058387756
62,0.09673266857862473,0.30096131563186646,0.3976939916610718
63,0.0933854728937149,0.30094584822654724,0.39433133602142334
64,0.08891097456216812,0.3009309768676758,0.3898419439792633
65,0.08681222796440125,0.3009163737297058,0.38772860169410706
66,0.08506990224123001,0.3009023070335388,0.38597220182418823
67,0.08305153250694275,0.3008885979652405,0.3839401304721832
68,0.08090049028396606,0.3008755147457123,0.38177600502967834
69,0.08038437366485596,0.3008626699447632,0.38124704360961914
70,0.10048507153987885,0.3008280396461487,0.4013131260871887
71,0.09565579891204834,0.3008131682872772,0.39646896719932556
72,0.09209851175546646,0.3007984757423401,0.39289698004722595
73,0.08630890399217606,0.3007837235927582,0.38709262013435364
74,0.0833720713853836,0.3007696866989136,0.384141743183136
75,0.07833392173051834,0.3007561266422272,0.3790900409221649
76,0.0819481834769249,0.30074307322502136,0.38269126415252686
77,0.07694156467914581,0.3007303774356842,0.3776719570159912
78,0.07553314417600632,0.3007182776927948,0.3762514293193817
79,0.07256404310464859,0.3007064461708069,0.3732704818248749
80,0.09641453623771667,0.30067330598831177,0.39708784222602844
81,0.09088556468486786,0.30065950751304626,0.39154505729675293
82,0.08312338590621948,0.30064594745635986,0.38376933336257935
83,0.08389400690793991,0.30063265562057495,0.38452666997909546
84,0.0781419649720192,0.30061984062194824,0.37876179814338684
85,0.07885296642780304,0.3006075620651245,0.37946051359176636
86,0.07466953247785568,0.30059555172920227,0.37526509165763855
87,0.07387698441743851,0.3005838394165039,0.3744608163833618
88,0.07438547164201736,0.30057257413864136,0.3749580383300781
89,0.07139064371585846,0.30056166648864746,0.3719522953033447
90,0.09405852109193802,0.3005278408527374,0.39458635449409485
91,0.08792697638273239,0.30051466822624207,0.38844165205955505
92,0.08315665274858475,0.30050188302993774,0.3836585283279419
93,0.0801183357834816,0.3004890978336334,0.3806074261665344
94,0.07419797033071518,0.300476998090744,0.3746749758720398
95,0.07246479392051697,0.300465852022171,0.372930645942688
