epoch,mAP,asym_loss
0,39.7572021484375,3.1023814769891596
1,43.518638610839844,1.9289978009003859
2,47.34495162963867,1.6804050757334783
3,69.6493148803711,1.4205164038217986
4,70.53916931152344,6.0105028335864725
5,72.05826568603516,3.1793448833318854
6,62.0626335144043,1.6144646864670975
7,75.74805450439453,1.2873123379854057
8,66.25064849853516,7.0098723998436565
9,75.52315521240234,3.3563162180093618
10,81.23542022705078,1.847132994578435
11,75.61466217041016,1.4109637095377994
12,57.47145462036133,7.834027253664457
13,70.48399353027344,4.106683125862707
14,69.53491973876953,2.504650822052589
15,62.902198791503906,1.683745109117948
16,56.81768035888672,8.173243852762075
17,84.16598510742188,4.781021411602313
18,83.0551528930664,3.112451507495
19,65.25393676757812,1.9490784544211168
20,67.6349868774414,8.069228722498966
21,73.7904281616211,5.551004409790039
22,62.92408752441406,4.113923421272865
23,88.51995849609375,2.3459144188807555
24,75.42507934570312,9.145779719719519
25,70.08505249023438,5.489101941768939
26,79.82234191894531,3.7731791092799254
27,63.95904541015625,2.937387961607713
28,57.55880355834961,10.208907384138842
29,73.71397399902344,6.340432717249944
30,63.749855041503906,4.678935307722826
31,65.71391296386719,3.404423787043645
32,83.94145202636719,10.11408622448261
33,55.397396087646484,8.448615844433125
34,62.93812561035156,5.593636842874379
35,76.20051574707031,4.195533422323373
36,69.43817138671875,10.853260150322548
37,61.43461608886719,9.266446333665115
38,70.36297607421875,6.872751896197979
39,61.69999313354492,4.738206221507146
40,53.51951599121094,11.809710575984074
41,76.79895782470703,8.952454456916222
42,74.28753662109375,7.274830011221079
43,61.45181655883789,5.804417206690862
