epoch,mAP,train_loss
0,tensor(6.6269),0.20262342407313771
1,tensor(28.0798),0.16293669587675239
2,tensor(35.5365),0.15037346761746181
3,tensor(40.3071),0.14310114007399694
4,tensor(43.9907),0.13813347012848246
5,tensor(16.2506),0.17297301566090567
6,tensor(45.1241),0.12763035558309066
7,tensor(47.6047),0.12296447221639095
8,tensor(48.9598),0.12017025398489103
9,tensor(50.8571),0.11775939082473165
10,tensor(50.8716),0.11723081428369198
11,tensor(52.0530),0.1158400529901342
12,tensor(53.5311),0.11427202159792534
13,tensor(54.4305),0.11291276466405811
14,tensor(55.7801),0.11163352586415956
15,tensor(54.8221),0.11233241748833005
16,tensor(55.4171),0.11134359017304406
17,tensor(56.5819),0.10980176716926965
18,tensor(57.5354),0.10905251193951082
19,tensor(58.1723),0.10790509014509998
20,tensor(57.5195),0.10900848358869557
21,tensor(58.4454),0.10777429865260073
22,tensor(59.0223),0.1071213641809118
23,tensor(59.8742),0.1059995168667822
24,tensor(60.7660),0.1052776767875898
25,tensor(58.8618),0.10696673628073258
26,tensor(59.5459),0.10635855028601472
27,tensor(60.5726),0.10493199883847855
28,tensor(61.3197),0.10392834017132971
29,tensor(62.2873),0.10309922196521837
30,tensor(59.7616),0.10517334824986031
31,tensor(61.1192),0.10356963333104828
32,tensor(62.4049),0.10262777322925015
33,tensor(63.0868),0.10187448996050344
34,tensor(63.5120),0.10112461966647246
35,tensor(61.1889),0.103453412767978
36,tensor(62.2470),0.10222112816479426
37,tensor(63.2092),0.101386161339886
38,tensor(63.8422),0.10054121201256366
39,tensor(64.6566),0.0998826853148204
40,tensor(62.7795),0.10147306436114735
41,tensor(62.9837),0.10106732710790077
42,tensor(64.1079),0.1001258167195413
43,tensor(65.1247),0.09903745973620433
44,tensor(65.0217),0.09902831865655773
45,tensor(63.1818),0.10051766974336909
46,tensor(64.3745),0.09932677346328816
47,tensor(65.1281),0.09870643113605701
48,tensor(65.8250),0.09754143411779213
49,tensor(66.1759),0.09703650505278358
50,tensor(63.8176),0.09916981556072309
51,tensor(65.0047),0.09811281105539678
52,tensor(65.4799),0.0974664983524423
53,tensor(65.9908),0.0968848060135248
54,tensor(67.2070),0.09549222225576988
55,tensor(64.7088),0.09815435215888785
56,tensor(65.8134),0.0970632009759023
57,tensor(66.0720),0.09613808885158732
58,tensor(67.0902),0.09533612705506242
59,tensor(67.7315),0.0943979148676887
60,tensor(65.6911),0.09670419904044635
61,tensor(66.4482),0.0956749129562062
62,tensor(67.1596),0.09488167944237416
63,tensor(67.8263),0.09391125868498583
64,tensor(68.5193),0.09333234877553885
65,tensor(66.1475),0.09579971974809809
66,tensor(66.8061),0.09485008906761504
67,tensor(67.7592),0.09384430205659638
68,tensor(68.0260),0.09354273798052903
69,tensor(68.9747),0.09209366244216839
70,tensor(66.7975),0.09455392153114665
71,tensor(67.1465),0.0939895259615049
72,tensor(68.2426),0.09261444674855536
73,tensor(68.7936),0.09224421765785734
74,tensor(69.0757),0.09144391615219148
75,tensor(66.3941),0.09450737311566391
76,tensor(67.9929),0.09277118962794424
77,tensor(68.5089),0.09216913836011625
78,tensor(69.0262),0.09141999343953706
79,tensor(69.8670),0.09066394965820285
80,tensor(67.0015),0.09335182844896726
81,tensor(67.8151),0.09220635302451799
82,tensor(69.0412),0.09108854902741517
83,tensor(69.5401),0.09036023842337526
84,tensor(70.1826),0.08938669952553072
85,tensor(67.8257),0.09224992752770972
86,tensor(69.3875),0.09062551457710301
87,tensor(68.9646),0.09047082892767654
88,tensor(70.1693),0.08913907515979465
89,tensor(70.4276),0.0886974744933588
90,tensor(68.1514),0.09122179413815883
91,tensor(69.1802),0.09037487878525775
92,tensor(70.0820),0.08905872546049405
93,tensor(70.6860),0.08821802986387152
94,tensor(71.3544),0.08716677758364365
95,tensor(68.2016),0.0906403124738296
96,tensor(69.9215),0.08926743141408094
97,tensor(70.1284),0.08860424439266965
98,tensor(70.9230),0.08770674472884907
99,tensor(71.4397),0.08657249585083954
100,tensor(68.5555),0.08990667154468919
101,tensor(70.9596),0.0875214211323846
102,tensor(71.3751),0.08683623993906994
103,tensor(71.2722),0.08648899139597258
104,tensor(71.9050),0.08596824993767159
105,tensor(69.9314),0.08817615702110503
106,tensor(70.5119),0.08750785704600673
107,tensor(70.7561),0.08722008750248511
108,tensor(71.1385),0.08671154737008686
109,tensor(71.4885),0.08627100990440129
110,tensor(69.9828),0.08811966300822412
111,tensor(70.7137),0.087490113183914
112,tensor(70.8259),0.08713174150379714
113,tensor(71.4360),0.08630044340855418
114,tensor(71.7762),0.08603369609855034
115,tensor(70.7337),0.08735368945835167
116,tensor(70.3653),0.08733195353458828
117,tensor(71.0969),0.08650773966590718
118,tensor(71.2225),0.08614400637984744
119,tensor(72.2363),0.08566815377093477
120,tensor(70.5328),0.08720457910447736
121,tensor(70.6452),0.08700771809551969
122,tensor(71.1303),0.08634308998106985
123,tensor(71.5043),0.08597563276726913
124,tensor(72.0120),0.08552371188708319
125,tensor(71.0857),0.08664653864816003
126,tensor(71.2041),0.08609136901361009
127,tensor(71.0344),0.08640890500366921
128,tensor(71.5638),0.08556502802362702
129,tensor(72.3663),0.08488397010337516
130,tensor(70.3519),0.08717493478078327
131,tensor(71.1712),0.0862301588058472
132,tensor(71.6212),0.08556568999466727
133,tensor(72.1247),0.08505471294260218
134,tensor(71.6899),0.08527262697307983
135,tensor(70.7758),0.08650814823023538
136,tensor(71.1372),0.08612468824196418
137,tensor(72.0388),0.08537510318630863
138,tensor(72.1493),0.08493126311306821
139,tensor(71.9893),0.08493692543835964
140,tensor(71.0263),0.0860837437937232
141,tensor(71.2548),0.08594619387086733
142,tensor(71.8843),0.08522345650404803
143,tensor(71.9440),0.08485393785665006
144,tensor(72.3870),0.08428308486590587
145,tensor(71.4098),0.08569747447271756
146,tensor(71.3715),0.08544103067788633
147,tensor(71.7673),0.08497485445979047
148,tensor(71.7388),0.08505298669815997
149,tensor(72.5842),0.08414830287722758
150,tensor(71.0617),0.08606924545672154
151,tensor(71.7750),0.08497388611623742
152,tensor(72.1914),0.0846410691448223
153,tensor(72.0419),0.08470723760615065
154,tensor(72.4193),0.08438687597615246
155,tensor(71.7589),0.08522388101319862
156,tensor(71.7683),0.08486384520096998
157,tensor(72.2515),0.0844727912591589
158,tensor(72.4659),0.0842332893598404
159,tensor(72.6828),0.08408152543965014
160,tensor(71.6279),0.08521489390255411
161,tensor(71.8071),0.08478261599976739
162,tensor(72.0810),0.08457572218972881
