agg_iter,mAP,avgloss
0,21.882356433948342,5.202678494858922
1,25.47031935397034,5.056534273594628
2,25.96941623676325,5.12126292760722
3,28.1039913438604,4.861848991295304
4,29.227301423836554,4.866320907511635
5,30.774885252596874,4.737113133128071
6,31.065893160656906,4.772347816015677
7,32.00479719686879,4.7240784154337
8,32.49923772665346,4.7130936631389835
9,32.85585209776651,4.653125799326464
10,29.290968571230696,5.034853593483825
11,31.61674345355623,4.728013817632472
12,32.99161570192549,4.823236500901762
13,34.05948945857931,4.584281184944787
14,35.269139386726884,4.720582133306729
15,35.2857106181586,4.489056357722564
16,37.12367627721089,4.413623002150296
17,37.385378656975405,4.408302118345934
18,38.3890275835301,4.3795859661666885
19,38.69443788758725,4.384206188137684
20,33.05270495516553,4.7946143360728435
21,35.627265035689796,4.547842290892477
22,36.8612204852206,4.497300379810441
23,35.88868267582315,4.588381111822926
24,37.47834563612153,4.448121048238724
25,39.29843220951504,4.39234046315672
26,39.049602202516525,4.496177533193196
27,39.9018985814521,4.413894246379676
28,40.81557048416214,4.2962919945939735
29,40.30306209182815,4.473722273977517
30,34.524191304277075,4.9405669656913815
31,35.49423251040704,4.712439346584224
32,39.0177768363945,4.544667290871867
33,39.983667034513815,4.445524117717921
34,39.75890805654196,4.464632006863632
35,40.3878806385778,4.449488650704275
36,40.357542836911136,4.479182274304977
37,41.32795813078415,4.5156475253421515
